workerid,year,sex,age,start_year,region,treated,earnings,sample_weight,quarter_birth,schooling
17,2000,M,45,1995,3,0,99414.328,.9195354,2,19
17,2003,M,48,1995,3,0,599702.44,.41867602,2,19
17,2007,M,52,1995,3,0,253523.83,.12744558,4,19
17,2009,M,54,1995,3,0,110888.95,.69292736,3,19
18,1995,M,40,1995,5,0,10452.206,.98483294,3,12
18,1996,M,41,1995,5,0,36385.949,.082203865,2,12
18,1998,M,43,1995,5,0,6511.6001,.67904365,1,12
18,2002,M,47,1995,5,0,10729.655,.35388261,1,12
18,2005,M,50,1995,5,0,10352.565,.36224842,3,12
19,2000,M,42,1998,2,1,14351.913,.24191734,2,15
19,2003,M,45,1998,2,1,136680.91,.76891863,2,15
20,1998,M,39,1995,1,0,20783.889,.87187046,2,14
20,2001,M,42,1995,1,0,543195,.16551556,2,14
20,2003,M,44,1995,1,0,20351.242,.88601494,4,14
20,2005,M,46,1995,1,0,86614.164,.85468912,3,14
20,2006,M,47,1995,1,0,47718.379,.9614628,1,14
20,2008,M,49,1995,5,0,23653.654,.25672755,2,14
21,1996,M,36,1995,1,0,9479.3682,.55997562,3,16
21,2001,M,41,1995,1,0,46074.965,.17440513,2,16
21,2002,M,42,1995,1,0,467215.91,.23309696,2,16
21,2004,M,44,1995,1,0,51187.715,.23844551,3,16
22,1997,M,33,1997,1,0,269172.72,.11850943,2,18
22,1999,M,35,1997,1,0,61295.863,.39535961,2,18
22,2010,M,46,1997,1,0,456400.44,.93810791,2,18
23,2010,M,46,2010,3,1,99469.891,.98940927,2,18
23,2011,M,47,2010,3,1,106321.3,.036750011,4,18
24,2004,M,57,2004,1,1,38091.191,.28069997,2,13
24,2008,M,61,2004,1,1,3735.5212,.45754495,2,13
25,1995,M,48,1995,5,0,2022121.4,.53507382,3,23
25,1996,M,49,1995,5,0,712647.63,.086983688,2,23
26,1997,M,48,1995,2,1,31010.342,.43632179,2,15
26,2006,M,57,1995,2,1,34090.469,.73408151,3,15
27,1995,M,40,1995,3,1,8649.0742,.85867894,1,11
27,1999,M,44,1995,3,1,16460.258,.25044528,3,11
28,1997,M,39,1995,2,0,91939.023,.46348137,4,15
28,2002,M,44,1995,2,0,3313.4832,.34260133,2,15
28,2005,M,47,1995,2,0,6188.0981,.27471867,3,15
28,2008,M,50,1995,2,0,21527.217,.3906782,1,15
29,1995,M,37,1995,1,1,17119.215,.42477676,2,12
29,1997,M,39,1995,1,1,14936.331,.24317637,3,12
29,2000,M,42,1995,1,1,13210.271,.27244389,1,12
29,2004,M,46,1995,1,1,22956.271,.47226781,3,12
29,2006,M,48,1995,1,1,11200.376,.35477388,2,12
30,1997,M,37,1995,4,0,181201.06,.20150746,2,18
30,1998,M,38,1995,4,0,34189.113,.3830424,4,18
30,1999,M,39,1995,4,0,108484,.99417078,3,18
30,2002,M,42,1995,4,0,44831.23,.19281822,3,18
30,2005,M,45,1995,4,0,622047.44,.46930122,2,18
30,2007,M,47,1995,4,0,567519.38,.14366746,1,18
30,2009,M,49,1995,4,0,912765.81,.45171481,3,18
31,1995,M,30,1995,2,0,167571.38,.92771393,2,14
31,1996,M,31,1995,2,0,17515.66,.52774411,4,14
31,2007,M,42,1995,2,0,70486.227,.44518813,1,14
32,1997,M,52,1995,5,1,41278.344,.47329497,4,16
32,1998,M,53,1995,5,1,103928.85,.6374523,1,16
32,2001,M,56,1995,5,1,61216.387,.31524661,3,16
33,2000,M,52,2000,2,1,25297.297,.32142189,2,15
33,2006,M,58,2000,1,1,10650.523,.55041534,2,15
33,2009,M,61,2000,1,1,83539.469,.19337876,3,15
33,2011,M,63,2000,1,1,43568.211,.4055112,2,15
34,2007,M,57,1995,3,0,66011.984,.67399353,3,17
34,2008,M,58,1995,3,0,157870.41,.81805485,3,17
35,1995,M,45,1995,1,1,32068.607,.013639001,2,11
35,2000,M,50,1995,1,1,15105.685,.28036517,1,11
35,2002,M,52,1995,1,1,4989.3364,.15877685,1,11
36,1997,M,47,1995,4,0,31776.742,.99817312,4,17
36,2002,M,52,1995,4,0,26360.299,.035292417,1,17
36,2004,M,54,1995,4,0,22148.646,.509516,2,17
36,2006,M,56,1995,4,0,395525.63,.58349973,4,17
37,2000,M,50,1995,1,0,61777.137,.98910564,1,16
37,2001,M,51,1995,1,0,144942.08,.71747112,2,16
37,2004,M,54,1995,1,0,100225.13,.13320276,4,16
38,1996,M,45,1996,2,1,14113.374,.37967208,3,13
38,1998,M,47,1996,2,1,4244.4473,.88895929,3,13
38,2000,M,49,1996,2,1,121909.3,.93057448,2,13
39,1997,M,42,1995,2,0,86077.555,.3998872,2,17
39,2003,M,48,1995,2,0,76223.641,.56896472,3,17
39,2004,M,49,1995,2,0,84768.297,.31230718,2,17
40,1998,M,40,1995,2,0,193838.8,.022919394,2,19
40,2003,M,45,1995,2,0,595965.69,.92006618,2,19
40,2004,M,46,1995,2,0,48072.602,.13154742,2,19
40,2011,M,53,1995,2,0,41436.738,.7540186,2,19
41,1995,M,36,1995,2,0,54630.277,.47113067,4,16
41,1999,M,40,1995,2,0,86709.016,.20230475,1,16
41,2002,M,43,1995,2,0,39701.473,.42938504,3,16
41,2003,M,44,1995,2,0,41871.207,.46651092,3,16
41,2004,M,45,1995,2,0,309854.41,.58821148,1,16
41,2008,M,49,1995,2,0,16850.156,.19991067,3,16
41,2009,M,50,1995,2,0,66324.93,.62110949,1,16
41,2011,M,52,1995,2,0,20448.549,.030081678,3,16
42,1997,M,51,1995,4,0,268232.53,.88641328,2,19
42,1998,M,52,1995,4,0,135172.31,.18177067,2,19
42,1999,M,53,1995,4,0,219226.25,.67200297,3,19
42,2000,M,54,1995,4,0,426846.09,.0071911085,2,19
43,1998,M,51,1995,4,0,97603.594,.061356202,2,18
43,2000,M,53,1995,4,0,138801.23,.093311265,2,18
44,1995,M,45,1995,2,0,37143.246,.65999669,3,15
44,1996,M,46,1995,2,0,53523.805,.18861286,2,15
44,1999,M,49,1995,2,0,77534.82,.92697978,3,15
45,2000,M,49,1995,4,0,9723.3564,.85443234,2,10
45,2003,M,52,1995,4,0,3202.1738,.84977078,2,10
45,2007,M,56,1995,4,0,20415.754,.55898333,4,10
46,2000,M,42,1995,4,0,56722.301,.5450688,2,16
46,2001,M,43,1995,4,0,25598.857,.84926486,1,16
46,2009,M,51,1995,4,0,35161.629,.038863614,2,16
47,2008,M,50,2004,1,1,3842.3875,.81426829,2,11
47,2009,M,51,2004,1,1,17022.59,.49317452,3,11
48,2000,M,38,1997,1,0,42947.004,.53941858,1,17
48,2002,M,40,1997,1,0,110793.73,.71782893,2,17
48,2006,M,44,1997,1,0,205817.28,.010576501,4,17
48,2008,M,46,1997,1,0,23672.789,.76638502,2,17
48,2011,M,49,1997,1,0,72454.453,.51789588,2,17
49,1996,M,34,1996,4,0,124395.65,.081011049,4,18
49,1997,M,35,1996,4,0,50702.223,.48693573,2,18
50,2002,M,38,2001,5,0,55357.188,.25577426,1,16
50,2008,M,44,2001,5,0,28068.924,.67807126,4,16
50,2009,M,45,2001,5,0,46276.379,.062569901,2,16
51,1997,M,57,1996,4,0,882910.81,.19916317,1,19
51,1998,M,58,1996,4,0,89186.023,.73299712,4,19
52,1997,M,56,1996,4,1,2942.8486,.24381156,2,13
52,2000,M,59,1996,4,1,81289.281,.039589029,2,13
53,1998,M,55,1995,1,1,26383.602,.32958046,4,17
53,2004,M,61,1995,1,1,29393.258,.48381814,2,17
54,1995,M,52,1995,1,0,63908.039,.26947275,2,14
54,1996,M,53,1995,1,0,36952.586,.47355446,2,14
54,2001,M,58,1995,1,0,33756.379,.27625328,3,14
55,1998,M,47,1995,3,0,53539.48,.10971889,1,18
55,2009,M,58,1995,3,0,115819,.58543468,2,18
56,2002,M,50,1995,2,0,209637.34,.41844511,3,19
56,2009,M,57,1995,2,0,73963.18,.93415529,3,19
57,2000,M,48,1999,3,1,6722.0522,.69378531,4,10
57,2003,M,51,1999,3,1,2323.3489,.29566327,1,10
57,2006,M,54,1999,2,1,13436.158,.037606552,4,10
58,1997,M,44,1995,5,0,49122.863,.57510537,2,15
58,2000,M,47,1995,5,0,136442.98,.32058761,1,15
58,2002,M,49,1995,5,0,58597.645,.10720754,2,15
58,2011,M,58,1995,5,0,45023.277,.57465142,2,15
59,1998,M,44,1998,2,1,16625.609,.22708575,2,12
59,1999,M,45,1998,2,1,1883.052,.78078139,2,12
60,2003,M,42,2001,2,1,32201.008,.50838012,4,12
60,2004,M,43,2001,2,1,11872.976,.25778902,4,12
60,2008,M,47,2001,2,1,7622.6089,.29215348,2,12
61,1997,M,35,1996,4,0,27190.904,.6842351,1,19
61,2009,M,47,1996,4,0,57530.684,.31642738,4,19
62,1996,M,34,1995,5,0,16436.699,.036820836,1,15
62,1997,M,35,1995,5,0,35701.789,.061645385,2,15
63,2001,M,37,1995,2,0,106893.67,.86610264,3,13
63,2009,M,45,1995,2,0,6896.0195,.79343557,1,13
64,1995,M,48,1995,4,1,3665.5278,.52650481,2,13
64,2001,M,54,1995,4,1,21983.131,.69430298,2,13
65,2002,M,44,2001,4,0,129714.04,.26559657,4,18
65,2008,M,50,2001,4,0,129654.6,.6276738,3,18
66,1997,M,39,1995,1,0,54714.375,.5878213,3,19
66,1999,M,41,1995,1,0,190707.11,.8830989,4,19
66,2000,M,42,1995,3,0,99077.641,.87929583,1,19
66,2001,M,43,1995,1,0,332728.25,.58944386,1,19
66,2008,M,50,1995,1,0,131804.3,.81557947,1,19
66,2009,M,51,1995,1,0,528672.44,.80471677,1,19
67,1996,M,38,1995,4,0,25112.164,.60690504,1,17
67,1999,M,41,1995,4,0,73787.18,.16520947,3,17
67,2000,M,42,1995,4,0,82294.469,.31993625,2,17
67,2001,M,43,1995,4,0,128022.81,.26646048,3,17
67,2005,M,47,1995,4,0,87440.609,.24205905,3,17
67,2007,M,49,1995,4,0,100007.13,.099374674,2,17
67,2009,M,51,1995,4,0,52801.016,.58201987,1,17
68,2006,M,47,2001,2,0,11059.803,.47847885,3,15
68,2010,M,51,2001,2,0,127165.1,.48370871,3,15
69,1996,M,36,1995,2,0,66255.766,.26745382,3,17
69,1997,M,37,1995,2,0,47352.656,.62611884,3,17
69,2000,M,40,1995,2,0,52256.273,.80091476,2,17
69,2001,M,41,1995,2,0,100731.52,.25779632,2,17
70,1999,M,36,1999,2,1,27627.516,.78252375,3,18
70,2004,M,41,1999,2,1,50076.496,.81885356,2,18
70,2006,M,43,1999,2,1,30441.902,.52496243,2,18
70,2011,M,48,1999,2,1,29999.215,.077490501,3,18
71,1995,M,31,1995,4,0,27490.564,.22349533,2,16
71,1997,M,33,1995,4,0,35925.828,.92717934,3,16
71,2000,M,36,1995,4,0,21149.309,.72047418,3,16
71,2005,M,41,1995,4,0,86454.43,.69690877,3,16
71,2008,M,44,1995,4,0,108509.45,.80733925,3,16
71,2009,M,45,1995,4,0,199627.88,.97102875,1,16
72,2004,M,38,1998,3,0,209414.28,.5170182,2,18
72,2005,M,39,1998,3,0,148636.16,.0058877538,4,18
73,1995,M,50,1995,1,0,84353.617,.86479002,2,13
73,1996,M,51,1995,1,0,9857.5146,.58358264,3,13
73,1998,M,53,1995,1,0,38172.859,.15705656,2,13
73,2001,M,56,1995,1,0,16735.092,.3234053,1,13
74,1995,M,47,1995,3,0,222875.44,.59447604,2,18
74,1997,M,49,1995,3,0,210042.31,.82777464,1,18
74,2000,M,52,1995,3,0,99057.492,.88798821,3,18
74,2002,M,54,1995,3,0,148738.45,.79689413,3,18
75,1995,M,46,1995,2,0,23349.418,.16348894,4,18
75,1996,M,47,1995,2,0,93077.844,.14703995,3,18
75,1997,M,48,1995,2,0,37011.605,.91154933,2,18
75,2000,M,51,1995,2,0,85220.828,.1042912,1,18
75,2004,M,55,1995,2,0,202099.94,.52647096,4,18
76,2001,M,52,1995,4,0,10111.911,.072787523,2,13
76,2004,M,55,1995,4,0,37497.254,.39505234,2,13
76,2005,M,56,1995,4,0,11903.253,.77089757,1,13
76,2006,M,57,1995,4,0,52425.324,.037446,4,13
76,2007,M,58,1995,4,0,22539.482,.33503869,3,13
76,2010,M,61,1995,4,0,40531.543,.54816222,3,13
77,1997,M,43,1995,3,0,21511.705,.52382821,1,17
77,2000,M,46,1995,3,0,46410.82,.64415187,2,17
77,2001,M,47,1995,3,0,19557.402,.51640671,2,17
77,2006,M,52,1995,3,0,29885.984,.75308901,3,17
78,1997,M,41,1995,2,0,47700.633,.66491127,3,17
78,1998,M,42,1995,2,0,72216.211,.57074839,3,17
78,1999,M,43,1995,2,0,22844.113,.71621197,2,17
78,2004,M,48,1995,2,0,296752.63,.63824892,3,17
79,1999,M,42,1997,2,0,209906.98,.92006487,3,15
79,2001,M,44,1997,2,0,11816.061,.27672109,2,15
79,2002,M,45,1997,2,0,34195.82,.79236031,2,15
80,1999,M,41,1999,1,1,508.23862,.11353617,1,9
80,2004,M,46,1999,1,1,406.59546,.99124187,1,9
80,2009,M,51,1999,1,1,1252.2894,.62451005,4,9
81,2003,M,44,2002,1,1,58600.98,.77416313,3,17
81,2006,M,47,2002,1,1,22312.109,.96703953,1,17
81,2007,M,48,2002,1,1,10587.447,.083256215,2,17
82,1997,M,32,1995,1,0,143246.67,.30604726,3,17
82,1999,M,34,1995,1,0,54633.605,.55244523,2,17
82,2004,M,39,1995,1,0,120663.04,.16506226,4,17
82,2007,M,42,1995,1,0,143621.28,.27342635,4,17
82,2011,M,46,1995,1,0,58554.875,.86518133,3,17
83,2002,M,36,1995,2,0,66034.383,.34486088,4,18
83,2004,M,38,1995,2,0,523814.94,.52601093,4,18
83,2006,M,40,1995,2,0,48672.539,.26919398,3,18
83,2007,M,41,1995,2,0,150296.16,.84526122,2,18
84,1997,M,48,1995,4,1,114475.91,.34009394,2,15
84,1998,M,49,1995,4,1,95413.617,.76263541,4,15
84,1999,M,50,1995,4,1,148664.72,.57990795,2,15
84,2000,M,51,1995,4,1,20144.104,.3259072,2,15
84,2001,M,52,1995,4,1,13397.692,.010423244,3,15
84,2003,M,54,1995,4,1,63834.898,.094428875,1,15
84,2006,M,57,1995,4,1,7071.9077,.64096016,3,15
85,1998,M,48,1997,2,0,225062.42,.66572785,3,15
85,1999,M,49,1997,2,0,20347.506,.76969486,4,15
86,1995,M,42,1995,1,0,123718.93,.0066340407,1,18
86,1999,M,46,1995,1,0,225805.33,.47596106,4,18
86,2002,M,49,1995,1,0,171680.33,.13941202,4,18
87,1996,M,41,1995,4,0,190835.67,.63817543,3,16
87,1997,M,42,1995,4,0,98233.68,.28810143,2,16
87,1998,M,43,1995,4,0,46191.5,.21456827,3,16
87,2002,M,47,1995,4,0,219856.38,.037137974,2,16
87,2003,M,48,1995,4,0,9259.7422,.3830795,1,16
88,2004,M,48,2003,4,0,17225.689,.80935019,4,16
88,2009,M,53,2003,4,0,199538.31,.051198479,3,16
88,2010,M,54,2003,4,0,540961.44,.52236867,3,16
89,1996,M,37,1995,3,0,144885.69,.89747095,2,18
89,2004,M,45,1995,3,0,75544.594,.27325302,1,18
89,2010,M,51,1995,3,0,334732.69,.96160525,2,18
90,1997,M,37,1995,1,0,199971.34,.36876231,3,17
90,2004,M,44,1995,1,0,39628.602,.5594784,4,17
90,2006,M,46,1995,1,0,12328.448,.26240152,2,17
90,2007,M,47,1995,1,0,29208.281,.94357395,2,17
90,2010,M,50,1995,1,0,22992.201,.046948131,2,17
91,2001,M,39,2000,5,1,22424.676,.4905546,3,19
91,2003,M,41,2000,5,1,55772.805,.31359178,4,19
92,2002,M,40,2000,1,1,70318.438,.8505168,1,16
92,2006,M,44,2000,1,1,62792.309,.42296171,2,16
92,2008,M,46,2000,1,1,88074.094,.12189218,1,16
93,1995,M,31,1995,4,1,19998.973,.36401227,2,12
93,1996,M,32,1995,4,1,3031.7712,.044427294,3,12
94,1996,M,31,1995,4,0,46586.039,.44866201,3,18
94,2001,M,36,1995,4,0,34255.355,.6194573,2,18
94,2003,M,38,1995,4,0,38709.82,.15889522,2,18
94,2011,M,46,1995,4,0,289255.34,.74339199,3,18
95,2007,M,40,2004,4,0,25005.889,.63241899,2,12
95,2008,M,41,2004,4,0,6713.4263,.13054475,1,12
95,2010,M,43,2004,4,0,31356.529,.27829602,2,12
95,2011,M,44,2004,4,0,10056.997,.73961306,3,12
96,2004,M,55,2003,1,0,21016.314,.2101531,2,20
96,2007,M,58,2003,1,0,52039.801,.45035276,3,20
97,1996,M,46,1995,3,0,38941.375,.7001065,1,14
97,2000,M,50,1995,3,0,14369.363,.7465992,3,14
97,2003,M,53,1995,3,0,14272.56,.91044521,4,14
98,1997,M,45,1997,1,1,14514.915,.22940443,2,14
98,2001,M,49,1997,1,1,224284.34,.3855595,2,14
98,2002,M,50,1997,1,1,15709.666,.79290456,2,14
99,1999,M,44,1999,4,0,19262.404,.047764458,2,16
99,2001,M,46,1999,4,0,386886.91,.60183322,3,16
100,2000,M,44,1995,1,0,196287.55,.63242733,2,16
100,2002,M,46,1995,1,0,154101.55,.50293833,3,16
100,2004,M,48,1995,1,0,46467.863,.17230454,4,16
100,2009,M,53,1995,1,0,29886.768,.45897409,1,16
101,2001,M,43,1995,1,0,20002.191,.76041663,3,15
101,2002,M,44,1995,1,0,1276798.8,.56725675,1,15
101,2003,M,45,1995,1,0,83387.727,.42633742,1,15
101,2004,M,46,1995,1,0,163527.61,.24294999,3,15
101,2009,M,51,1995,2,0,9956.9229,.65710402,3,15
101,2010,M,52,1995,2,0,499726.63,.60717958,1,15
102,2000,M,38,1995,2,0,183219.97,.52113515,4,15
102,2002,M,40,1995,2,0,90457.078,.75772709,1,15
103,1999,M,35,1995,2,1,36079.715,.43688717,1,16
103,2006,M,42,1995,2,1,38360.652,.51479048,4,16
103,2009,M,45,1995,2,1,48351.109,.85986459,2,16
103,2011,M,47,1995,2,1,32415.781,.21056186,2,16
104,2007,M,40,2000,4,0,109775.49,.57476419,3,19
104,2008,M,41,2000,4,0,200283.53,.85758537,2,19
104,2009,M,42,2000,4,0,34072.379,.65093613,1,19
104,2011,M,44,2000,4,0,667159.63,.18379298,3,19
105,1995,M,51,1995,2,0,115528.63,.34540173,2,17
105,1999,M,55,1995,2,0,62057.039,.97556198,3,17
106,1997,M,31,1995,5,0,44490.031,.26596457,3,16
106,2002,M,36,1995,5,0,196753.03,.7443319,4,16
106,2006,M,40,1995,5,0,62471.477,.71400619,4,16
106,2009,M,43,1995,5,0,23935.246,.77980447,4,16
106,2010,M,44,1995,5,0,17481.887,.64580828,2,16
106,2011,M,45,1995,5,0,281903.53,.56135762,2,16
107,1995,M,46,1995,3,0,16030.646,.97546685,2,17
107,1997,M,48,1995,3,0,40241.348,.57399589,3,17
108,1998,M,47,1997,4,0,83899.727,.36944038,1,17
108,1999,M,48,1997,4,0,53991.824,.71700138,4,17
108,2000,M,49,1997,4,0,142317.06,.3511411,2,17
108,2003,M,52,1997,4,0,16671.564,.25904375,3,17
108,2004,M,53,1997,4,0,57143.32,.30414236,3,17
109,1996,M,45,1995,2,0,22912.699,.69428915,1,15
109,1998,M,47,1995,2,0,8673.46,.13171907,2,15
109,2000,M,49,1995,2,0,21349.686,.81147832,4,15
109,2006,M,55,1995,2,0,30274.818,.029778745,1,15
109,2008,M,57,1995,2,0,50676.523,.90689248,3,15
109,2009,M,58,1995,2,0,14139.594,.66304547,2,15
110,1996,M,44,1995,3,0,31889.914,.52323616,3,16
110,1998,M,46,1995,3,0,32626.377,.15080911,2,16
110,2002,M,50,1995,3,0,679464.88,.14442575,2,16
110,2003,M,51,1995,3,0,155619.09,.023859479,2,16
110,2006,M,54,1995,1,0,12961.594,.3973,3,16
111,2010,M,57,2010,3,1,9071.6318,.8186968,1,15
111,2011,M,58,2010,3,1,95804.672,.079123117,3,15
112,1998,M,42,1995,5,0,8006.6519,.25095493,4,15
112,1999,M,43,1995,5,0,62282.836,.94669306,3,15
112,2001,M,45,1995,5,0,89378.609,.055169132,1,15
112,2008,M,52,1995,5,0,3924.2671,.59294486,4,15
113,1995,M,39,1995,5,0,62926.625,.087309361,1,16
113,1997,M,41,1995,5,0,28172.775,.31011736,4,16
113,2001,M,45,1995,5,0,116689.86,.46286625,3,16
113,2004,M,48,1995,5,0,122388.64,.55668634,1,16
114,1995,M,37,1995,4,0,63485.129,.029547801,2,16
114,2002,M,44,1995,4,0,108153.37,.68684518,3,16
114,2005,M,47,1995,4,0,77745.43,.77504849,3,16
115,2006,M,47,2004,1,1,114478.77,.54832125,4,15
115,2007,M,48,2004,1,1,16735.428,.8240788,4,15
116,2004,M,45,2001,1,1,97041.414,.14795318,2,15
116,2009,M,50,2001,3,1,80568.086,.68301094,2,15
116,2010,M,51,2001,3,1,9905.6387,.39916596,3,15
117,2004,M,44,2000,4,0,30366.922,.6625126,4,15
117,2005,M,45,2000,4,0,55393.145,.92508876,2,15
118,2002,M,36,2001,3,0,9532.4307,.75966072,2,14
118,2008,M,42,2001,3,0,128698.37,.93668139,4,14
118,2009,M,43,2001,3,0,39459.051,.40187582,4,14
118,2011,M,45,2001,3,0,336769,.63594347,3,14
119,1997,M,30,1995,3,0,163230.41,.05349442,1,18
119,2000,M,33,1995,3,0,23396.951,.60424948,2,18
119,2010,M,43,1995,3,0,84881.313,.58930117,3,18
120,2004,M,37,2004,2,1,27960.332,.88687569,3,13
120,2008,M,41,2004,2,1,10164.896,.32166874,4,13
120,2009,M,42,2004,2,1,8924.4688,.85719049,2,13
121,1997,M,58,1995,1,1,16726.729,.29796487,3,15
121,1999,M,60,1995,1,1,87795.906,.76220769,2,15
122,1996,M,50,1995,2,0,122018.38,.93168163,1,18
122,1997,M,51,1995,2,0,170172.44,.82070804,1,18
123,1996,M,42,1996,5,1,26167.467,.33486524,2,14
123,1997,M,43,1996,5,1,8296.3564,.69162422,3,14
124,2002,M,48,2001,3,1,87813.5,.14352465,4,21
124,2003,M,49,2001,3,1,63230.004,.0074408655,3,21
125,1995,M,35,1995,4,0,33414.684,.72899574,3,16
125,1996,M,36,1995,3,0,29741.422,.16867766,1,16
125,2002,M,42,1995,3,0,43059.773,.39609891,2,16
126,1998,M,34,1998,3,1,18735.428,.6228984,2,16
126,2000,M,36,1998,3,1,36937.938,.44687539,2,16
126,2004,M,40,1998,3,1,94143.828,.39325216,3,16
126,2005,M,41,1998,3,1,10989.04,.92804635,4,16
126,2008,M,44,1998,3,1,39467.609,.28466523,2,16
126,2009,M,45,1998,3,1,33233.91,.72949177,2,16
127,2000,M,55,1995,1,0,436319.03,.49659279,2,22
127,2001,M,56,1995,1,0,477441.09,.93562603,2,22
128,1995,M,50,1995,4,1,8266.6484,.3053301,2,13
128,1996,M,51,1995,4,1,22712.174,.72448218,2,13
128,2004,M,59,1995,4,1,6529.585,.97669876,3,13
129,2002,M,50,1997,5,0,55799.723,.40320507,1,18
129,2006,M,54,1997,1,0,105318.02,.41665614,3,18
129,2007,M,55,1997,1,0,255773.14,.12880449,2,18
129,2008,M,56,1997,1,0,79130.164,.61982167,4,18
129,2009,M,57,1997,1,0,29299.639,.51988763,4,18
129,2010,M,58,1997,1,0,105122.45,.30001366,2,18
130,1998,M,45,1998,2,0,46482.492,.76786453,3,18
130,2002,M,49,1998,2,0,479215.88,.6789723,3,18
130,2004,M,51,1998,2,0,79173.625,.76523685,3,18
130,2005,M,52,1998,2,0,137698.23,.94150174,2,18
130,2006,M,53,1998,2,0,28107.225,.069757782,1,18
130,2008,M,55,1998,2,0,129587.72,.4482798,2,18
130,2009,M,56,1998,2,0,51005.055,.055403329,2,18
131,1997,M,42,1995,5,0,30354.932,.78223628,2,14
131,1998,M,43,1995,5,0,87537,.28452492,2,14
131,2009,M,54,1995,5,0,9337.2158,.19923294,2,14
131,2010,M,55,1995,5,0,79673.852,.11698272,1,14
132,1995,M,39,1995,2,0,154684.47,.51031804,4,17
132,2007,M,51,1995,1,0,125727.45,.43214259,1,17
132,2008,M,52,1995,1,0,27049.168,.78774679,2,17
132,2009,M,53,1995,1,0,90063.523,.79174185,2,17
133,1997,M,36,1995,4,0,126970.98,.48737833,2,16
133,2003,M,42,1995,4,0,143292.98,.60126895,2,16
133,2005,M,44,1995,4,0,12922.684,.13483372,1,16
133,2007,M,46,1995,4,0,85485.945,.49645451,3,16
134,2005,M,41,1996,3,0,44812.309,.49769992,2,17
134,2006,M,42,1996,3,0,21168.309,.12682463,2,17
134,2008,M,44,1996,3,0,30792.848,.59864348,4,17
135,1995,M,55,1995,2,0,87830.125,.98468441,3,17
135,1997,M,57,1995,2,0,225168,.93850785,2,17
136,1995,M,50,1995,2,0,266585.16,.75952345,1,21
136,2005,M,60,1995,2,0,366331.19,.037103262,2,21
137,2001,M,54,1998,2,1,55491.414,.39002675,4,15
137,2005,M,58,1998,2,1,11253.173,.94679832,3,15
137,2008,M,61,1998,2,1,87194.727,.17541125,2,15
137,2010,M,63,1998,2,1,23589.857,.50178742,3,15
138,1996,M,46,1995,5,0,14081.071,.48796356,2,17
138,1998,M,48,1995,5,0,132276.39,.96818608,3,17
138,1999,M,49,1995,5,0,30695.857,.4289616,3,17
138,2002,M,52,1995,5,0,123333.14,.14998212,1,17
138,2005,M,55,1995,5,0,44850.41,.27198172,3,17
139,1995,M,44,1995,2,0,12433.974,.41123152,1,17
