respondent_id,age,gender,education,province,industry,union_member,weekly_hours,hourly_wage
97,30,Man,High school,British Columbia,Finance,0,40.0,30.31
98,51,Man,High school,Alberta,Finance,0,40.0,35.7
99,48,Nonbinary,Bachelor's degree,Quebec,Public administration,0,16.0,51.73
100,25,Man,High school,Quebec,Health care,1,40.0,19.66
101,58,Woman,Graduate degree,Alberta,Construction,0,37.5,49.5
102,28,Man,High school,Ontario,Retail,0,37.5,17.4
103,56,Man,Bachelor's degree,Alberta,Health care,0,29.0,48.95
104,19,Man,Bachelor's degree,Ontario,Hospitality,0,37.5,19.65
105,56,Man,High school,British Columbia,Public administration,0,37.5,27.96
106,55,Man,High school,British Columbia,Retail,0,30.0,36.46
107,55,Man,Graduate degree,Ontario,Hospitality,0,35.0,30.25
108,50,Woman,High school,British Columbia,Construction,0,30.0,43.37
109,41,Man,College diploma,Ontario,Hospitality,0,18.0,23.5
110,52,Woman,College diploma,Alberta,Hospitality,0,40.0,41.84
111,32,Man,High school,Quebec,Education,0,35.0,33.81
112,55,Man,Bachelor's degree,Ontario,Construction,1,37.5,37.55
113,45,Man,Bachelor's degree,Saskatchewan,Education,0,23.0,34.6
114,40,Nonbinary,College diploma,Ontario,Finance,0,35.0,51.12
115,42,Woman,Bachelor's degree,British Columbia,Education,1,37.5,38.98
116,45,Man,High school,Saskatchewan,Education,1,40.0,32.09
117,20,Man,High school,British Columbia,Manufacturing,0,40.0,30.31
118,25,Woman,College diploma,Quebec,Hospitality,0,35.0,18.28
119,30,Woman,Graduate degree,Ontario,Construction,0,40.0,44.85
120,24,Woman,High school,Quebec,Public administration,1,40.0,34.13
121,39,Man,High school,Quebec,Education,1,37.5,37.64
122,50,Woman,College diploma,Quebec,Construction,1,12.0,38.45
123,49,Nonbinary,Bachelor's degree,British Columbia,Health care,0,40.0,42.8
124,41,Woman,High school,Quebec,Finance,0,40.0,28.18
125,59,Nonbinary,College diploma,Manitoba,Education,1,40.0,30.07
126,45,Woman,Bachelor's degree,Alberta,Health care,0,40.0,47.74
127,22,Man,College diploma,Manitoba,Finance,0,40.0,32.36
128,54,Woman,High school,Alberta,Education,0,40.0,35.25
129,46,Man,High school,British Columbia,Education,0,40.0,42.16
130,48,Man,College diploma,British Columbia,Hospitality,0,40.0,22.28
131,45,Man,College diploma,British Columbia,Retail,0,40.0,28.61
132,45,Man,Bachelor's degree,Saskatchewan,Public administration,1,40.0,49.27
133,23,Woman,Bachelor's degree,Quebec,Education,1,19.0,26.42
134,45,Woman,Bachelor's degree,Ontario,Manufacturing,0,35.0,58.6
135,56,Woman,Graduate degree,Saskatchewan,Health care,1,40.0,66.54
136,33,Woman,College diploma,Alberta,Retail,0,27.0,28.08
137,47,Man,College diploma,Alberta,Finance,0,40.0,70.38
138,20,Man,Graduate degree,British Columbia,Hospitality,0,30.0,18.95
139,35,Man,High school,Ontario,Technology,0,40.0,40.38
140,39,Man,Bachelor's degree,British Columbia,Health care,0,37.5,45.63
141,65,Man,Bachelor's degree,Ontario,Construction,0,40.0,37.48
142,29,Man,High school,Ontario,Retail,0,35.0,24.1
143,31,Woman,College diploma,Manitoba,Technology,0,40.0,32.67
144,38,Woman,High school,Quebec,Hospitality,0,35.0,28.23
145,65,Man,High school,British Columbia,Retail,0,40.0,35.43
146,59,Man,College diploma,Quebec,Technology,0,40.0,54.38
147,20,Woman,College diploma,Ontario,Manufacturing,0,40.0,17.4
148,29,Man,Bachelor's degree,Ontario,Manufacturing,0,40.0,28.31
149,57,Man,Graduate degree,Ontario,Construction,1,37.5,62.32
150,21,Woman,Bachelor's degree,Ontario,Finance,0,35.0,38.07
151,59,Woman,High school,Quebec,Construction,0,28.0,20.36
152,32,Man,High school,Alberta,Hospitality,0,40.0,29.35
153,62,Man,High school,Ontario,Construction,0,40.0,37.65
154,32,Woman,High school,Ontario,Hospitality,0,37.5,18.65
155,39,Man,Graduate degree,Alberta,Construction,1,37.5,62.11
156,50,Woman,College diploma,Quebec,Retail,0,37.5,26.72
157,24,Man,High school,Alberta,Hospitality,0,27.0,17.4
158,45,Woman,Bachelor's degree,Manitoba,Manufacturing,1,37.5,46.27
159,42,Man,College diploma,British Columbia,Finance,0,35.0,67.53
160,55,Woman,High school,British Columbia,Retail,0,14.0,41.04
161,65,Woman,High school,Ontario,Hospitality,0,23.0,28.62
162,50,Man,Bachelor's degree,Alberta,Finance,0,37.5,61.95
163,38,Woman,Bachelor's degree,Alberta,Finance,0,35.0,60.5
164,38,Woman,High school,British Columbia,Education,0,40.0,23.62
165,38,Woman,Graduate degree,Saskatchewan,Construction,0,40.0,56.84
166,57,Man,Bachelor's degree,Ontario,Manufacturing,0,14.0,37.96
167,34,Man,Bachelor's degree,Quebec,Hospitality,0,40.0,31.38
168,26,Nonbinary,High school,British Columbia,Retail,0,37.5,20.29
169,34,Woman,High school,Manitoba,Manufacturing,0,40.0,33.33
170,20,Woman,Bachelor's degree,Alberta,Health care,0,40.0,31.12
171,23,Woman,College diploma,Ontario,Manufacturing,0,19.0,17.4
172,23,Man,Bachelor's degree,Alberta,Education,1,40.0,32.08
173,55,Nonbinary,Bachelor's degree,Alberta,Construction,0,40.0,53.98
174,52,Man,High school,Alberta,Manufacturing,1,21.0,38.46
175,51,Man,Bachelor's degree,Manitoba,Technology,1,37.5,57.73
176,40,Woman,Graduate degree,Saskatchewan,Finance,0,14.0,87.55
177,52,Man,Bachelor's degree,Alberta,Construction,1,15.0,49.9
178,26,Man,College diploma,Ontario,Health care,0,40.0,32.68
179,61,Woman,Bachelor's degree,Ontario,Construction,0,40.0,58.64
180,42,Woman,College diploma,Alberta,Retail,0,37.5,31.83
181,63,Woman,Bachelor's degree,Ontario,Technology,0,40.0,48.28
182,26,Woman,Bachelor's degree,Quebec,Hospitality,0,35.0,17.4
183,42,Woman,Bachelor's degree,British Columbia,Manufacturing,0,15.0,37.55
184,51,Woman,College diploma,Manitoba,Health care,0,40.0,46.8
185,42,Man,High school,British Columbia,Hospitality,0,40.0,23.41
186,39,Woman,High school,Ontario,Retail,0,40.0,31.07
187,26,Woman,College diploma,British Columbia,Manufacturing,0,40.0,29.46
188,36,Man,College diploma,Ontario,Public administration,1,40.0,49.25
189,30,Man,College diploma,British Columbia,Education,1,23.0,28.46
190,33,Man,College diploma,Saskatchewan,Manufacturing,1,35.0,35.67
191,51,Woman,Bachelor's degree,Quebec,Retail,0,40.0,40.43
192,48,Man,Graduate degree,Alberta,Education,0,40.0,70.48
193,47,Woman,High school,Quebec,Retail,0,16.0,19.18
194,36,Woman,Bachelor's degree,Quebec,Health care,0,12.0,36.7
195,64,Man,Bachelor's degree,Quebec,Technology,0,37.5,70.58
196,23,Man,College diploma,British Columbia,Manufacturing,0,20.0,37.68
197,35,Man,High school,Ontario,Construction,0,23.0,33.55
198,24,Man,Bachelor's degree,British Columbia,Retail,0,35.0,24.43
199,34,Man,Graduate degree,Alberta,Retail,0,40.0,43.06
200,64,Woman,Bachelor's degree,Quebec,Health care,1,35.0,55.21
201,36,Woman,Graduate degree,Ontario,Finance,0,35.0,53.76
202,61,Woman,Graduate degree,Manitoba,Construction,1,37.5,58.81
203,42,Woman,College diploma,Alberta,Health care,0,35.0,48.45
204,51,Man,Bachelor's degree,Ontario,Education,0,40.0,66.31
205,40,Woman,College diploma,Ontario,Retail,0,37.5,33.93
206,31,Man,Graduate degree,Alberta,Hospitality,0,37.5,33.1
207,54,Man,High school,Quebec,Construction,0,35.0,36.38
208,64,Man,College diploma,British Columbia,Education,0,37.5,42.21
209,31,Woman,Bachelor's degree,British Columbia,Health care,0,24.0,36.76
210,55,Woman,College diploma,Ontario,Technology,0,40.0,53.47
211,31,Nonbinary,Bachelor's degree,Quebec,Finance,0,37.5,36.5
212,52,Man,College diploma,British Columbia,Technology,0,40.0,67.82
213,56,Man,Graduate degree,British Columbia,Public administration,0,37.5,45.02
214,40,Man,Graduate degree,British Columbia,Technology,0,40.0,58.32
215,53,Man,College diploma,Quebec,Finance,1,40.0,49.68
216,31,Woman,Bachelor's degree,British Columbia,Finance,0,37.5,71.38
217,22,Man,College diploma,Saskatchewan,Technology,0,40.0,31.95
218,23,Woman,Bachelor's degree,Quebec,Technology,0,40.0,35.96
219,40,Man,Bachelor's degree,British Columbia,Public administration,0,37.5,40.03
220,61,Man,Bachelor's degree,Manitoba,Health care,1,16.0,66.46
221,24,Man,High school,Saskatchewan,Education,1,40.0,17.4
222,40,Woman,High school,Ontario,Health care,1,35.0,26.85
223,52,Woman,Bachelor's degree,Alberta,Finance,0,40.0,102.77
224,28,Man,College diploma,Alberta,Health care,1,40.0,35.1
225,52,Woman,College diploma,British Columbia,Technology,0,18.0,39.98
226,33,Woman,High school,Ontario,Technology,0,40.0,38.94
227,57,Woman,College diploma,Ontario,Public administration,0,40.0,43.07
228,46,Woman,Bachelor's degree,British Columbia,Construction,0,40.0,54.54
229,44,Woman,High school,Alberta,Technology,0,24.0,66.87
230,27,Man,College diploma,Quebec,Technology,0,35.0,42.31
231,40,Woman,Graduate degree,British Columbia,Public administration,0,25.0,47.1
232,59,Woman,High school,British Columbia,Finance,0,40.0,52.94
233,19,Woman,Bachelor's degree,Manitoba,Health care,0,40.0,25.39
234,54,Woman,High school,British Columbia,Health care,0,15.0,29.04
235,42,Woman,Bachelor's degree,British Columbia,Hospitality,0,26.0,21.84
236,52,Man,Bachelor's degree,Alberta,Public administration,1,40.0,34.72
237,50,Woman,Graduate degree,British Columbia,Construction,0,40.0,44.58
238,39,Woman,High school,Saskatchewan,Technology,0,35.0,32.82
239,33,Woman,College diploma,Ontario,Technology,0,40.0,46.07
240,48,Woman,Bachelor's degree,Manitoba,Health care,0,35.0,34.85
241,25,Woman,High school,British Columbia,Hospitality,0,37.5,17.4
242,46,Woman,High school,Ontario,Hospitality,0,40.0,20.76
243,23,Man,High school,British Columbia,Finance,0,40.0,28.08
244,49,Woman,Graduate degree,Ontario,Health care,1,37.5,46.85
245,48,Man,Bachelor's degree,Alberta,Retail,0,40.0,49.86
246,22,Woman,Bachelor's degree,Ontario,Technology,0,40.0,35.59
247,54,Woman,Bachelor's degree,British Columbia,Construction,0,35.0,56.82
248,38,Woman,College diploma,British Columbia,Finance,0,37.5,43.57
249,55,Man,College diploma,Saskatchewan,Construction,1,40.0,39.97
250,20,Man,College diploma,British Columbia,Hospitality,0,24.0,17.4
251,27,Woman,Bachelor's degree,British Columbia,Retail,0,37.5,27.29
252,42,Woman,High school,Ontario,Health care,0,40.0,28.86
253,27,Woman,Graduate degree,Ontario,Health care,0,40.0,42.82
254,34,Woman,Bachelor's degree,British Columbia,Technology,0,24.0,48.14
255,50,Man,College diploma,Quebec,Health care,0,40.0,32.03
256,25,Woman,College diploma,Ontario,Manufacturing,0,35.0,34.77
257,50,Woman,High school,Quebec,Construction,0,35.0,39.98
258,23,Man,Graduate degree,Ontario,Construction,0,35.0,34.83
259,27,Woman,Graduate degree,Ontario,Public administration,1,40.0,45.22
260,46,Woman,Graduate degree,Saskatchewan,Hospitality,0,40.0,38.26
261,56,Man,College diploma,Ontario,Public administration,1,40.0,35.06
262,27,Woman,High school,Quebec,Construction,0,35.0,28.36
263,33,Woman,High school,British Columbia,Retail,0,40.0,21.0
264,62,Woman,High school,British Columbia,Construction,1,35.0,29.68
265,65,Man,High school,British Columbia,Retail,0,37.5,19.65
266,46,Woman,High school,Quebec,Technology,0,37.5,41.84
267,40,Woman,Graduate degree,Alberta,Health care,0,16.0,56.58
268,35,Woman,High school,Ontario,Construction,1,20.0,27.31
269,47,Woman,High school,Ontario,Education,0,40.0,58.78
270,46,Man,Bachelor's degree,Quebec,Education,1,40.0,51.81
271,32,Woman,College diploma,British Columbia,Public administration,0,40.0,46.66
272,20,Man,Bachelor's degree,Ontario,Public administration,1,35.0,38.35
273,26,Man,Bachelor's degree,Quebec,Education,1,40.0,49.3
274,64,Man,Graduate degree,British Columbia,Technology,0,40.0,57.8
275,38,Woman,Bachelor's degree,Ontario,Technology,0,37.5,30.42
276,41,Man,College diploma,Alberta,Health care,1,40.0,33.55
277,40,Man,Bachelor's degree,Ontario,Technology,0,40.0,61.79
278,55,Woman,College diploma,Saskatchewan,Retail,0,37.5,32.48
279,22,Man,College diploma,British Columbia,Technology,0,40.0,37.25
280,22,Man,College diploma,British Columbia,Public administration,1,37.5,38.77
281,31,Woman,High school,British Columbia,Retail,0,35.0,25.38
282,41,Man,Bachelor's degree,British Columbia,Finance,0,40.0,62.61
283,50,Woman,High school,Ontario,Public administration,1,30.0,31.12
284,42,Man,High school,Alberta,Hospitality,0,37.5,19.88
285,39,Nonbinary,High school,British Columbia,Health care,0,37.5,47.24
286,63,Woman,Bachelor's degree,Ontario,Public administration,1,15.0,49.74
287,26,Man,College diploma,Ontario,Public administration,1,37.5,27.47
288,45,Woman,Bachelor's degree,Manitoba,Retail,0,40.0,30.54
289,44,Man,Bachelor's degree,Quebec,Manufacturing,1,37.5,36.79
290,41,Man,High school,Alberta,Education,1,35.0,27.53
291,56,Woman,Bachelor's degree,Ontario,Hospitality,0,40.0,25.94
292,31,Woman,College diploma,British Columbia,Construction,0,40.0,23.57
293,63,Woman,High school,Ontario,Retail,0,37.5,27.16
294,34,Woman,Bachelor's degree,Quebec,Hospitality,0,37.5,25.68
295,44,Woman,Graduate degree,Ontario,Health care,1,35.0,66.13
296,43,Woman,College diploma,Manitoba,Education,1,35.0,38.25
297,58,Woman,College diploma,Ontario,Education,1,37.5,40.27
298,39,Woman,College diploma,Alberta,Technology,0,24.0,39.51
299,32,Man,College diploma,Ontario,Manufacturing,0,40.0,30.86
300,20,Man,Bachelor's degree,Ontario,Construction,1,14.0,33.15
301,36,Man,Bachelor's degree,Quebec,Retail,0,40.0,37.38
302,57,Woman,Bachelor's degree,Saskatchewan,Hospitality,0,37.5,33.69
303,19,Man,High school,British Columbia,Construction,0,37.5,29.83
304,61,Man,Bachelor's degree,Ontario,Hospitality,0,37.5,34.24
305,44,Woman,Bachelor's degree,British Columbia,Retail,0,37.5,41.37
306,25,Woman,Bachelor's degree,British Columbia,Hospitality,0,40.0,22.48
307,33,Man,High school,British Columbia,Education,1,37.5,19.54
308,45,Woman,College diploma,Ontario,Education,0,40.0,38.66
309,33,Man,College diploma,British Columbia,Public administration,1,37.5,41.72
310,24,Nonbinary,High school,British Columbia,Technology,0,24.0,37.96
311,50,Woman,High school,British Columbia,Health care,0,40.0,39.54
312,50,Woman,College diploma,Quebec,Retail,1,37.5,28.73
313,24,Nonbinary,Bachelor's degree,Ontario,Health care,1,35.0,27.73
314,32,Man,High school,British Columbia,Retail,0,40.0,26.77
315,30,Woman,Bachelor's degree,British Columbia,Health care,1,40.0,40.74
316,49,Man,College diploma,Manitoba,Manufacturing,0,37.5,33.34
317,53,Man,Bachelor's degree,British Columbia,Manufacturing,0,40.0,56.72
318,53,Man,College diploma,Ontario,Construction,0,35.0,33.11
319,63,Man,College diploma,Alberta,Education,0,37.5,32.99
320,55,Woman,Bachelor's degree,Quebec,Finance,0,40.0,81.24
321,34,Woman,Graduate degree,British Columbia,Technology,0,37.5,72.03
322,24,Man,College diploma,Ontario,Education,1,37.5,25.06
323,47,Woman,College diploma,British Columbia,Health care,1,27.0,41.36
324,62,Man,Bachelor's degree,Quebec,Retail,1,35.0,37.43
325,64,Man,Bachelor's degree,Quebec,Technology,0,35.0,32.01
326,29,Woman,High school,Ontario,Health care,0,35.0,23.49
327,30,Man,College diploma,Alberta,Construction,0,20.0,31.89
328,20,Woman,College diploma,British Columbia,Construction,1,40.0,24.37
329,25,Man,Graduate degree,Ontario,Public administration,1,23.0,44.47
330,45,Woman,College diploma,Ontario,Education,0,37.5,46.72
331,44,Man,College diploma,British Columbia,Health care,0,40.0,35.42
332,36,Man,Graduate degree,Alberta,Education,1,35.0,35.91
333,33,Woman,College diploma,Alberta,Manufacturing,0,37.5,34.56
334,58,Man,High school,Ontario,Health care,1,40.0,33.97
335,40,Man,High school,Ontario,Construction,1,37.5,32.67
336,56,Man,High school,Ontario,Health care,0,27.0,34.25
337,64,Man,High school,Ontario,Education,1,40.0,55.88
338,33,Nonbinary,College diploma,British Columbia,Retail,0,40.0,17.4
339,28,Woman,Bachelor's degree,Alberta,Technology,0,35.0,42.21
340,63,Man,Bachelor's degree,British Columbia,Construction,0,35.0,46.23
341,48,Woman,High school,Ontario,Education,1,35.0,28.59
342,32,Man,College diploma,Alberta,Education,0,40.0,38.24
343,48,Man,High school,Alberta,Education,1,21.0,40.6
344,43,Woman,Graduate degree,British Columbia,Education,1,40.0,48.39
345,61,Woman,High school,British Columbia,Public administration,1,37.5,36.31
346,31,Man,Bachelor's degree,Manitoba,Health care,0,40.0,36.79
347,65,Woman,College diploma,British Columbia,Technology,0,22.0,49.0
348,62,Man,Bachelor's degree,British Columbia,Technology,0,22.0,58.04
349,27,Woman,College diploma,Ontario,Hospitality,0,29.0,21.5
350,26,Man,Bachelor's degree,Alberta,Construction,0,35.0,36.82
351,44,Woman,High school,Alberta,Manufacturing,0,35.0,39.4
352,21,Woman,Graduate degree,Alberta,Construction,0,23.0,28.05
353,33,Man,College diploma,Ontario,Manufacturing,0,37.5,25.54
354,39,Man,Bachelor's degree,British Columbia,Manufacturing,0,37.5,27.53
355,64,Woman,Bachelor's degree,Ontario,Education,1,37.5,52.49
356,65,Woman,Graduate degree,Quebec,Hospitality,0,37.5,41.68
357,26,Man,High school,Ontario,Technology,0,40.0,38.92
358,60,Man,College diploma,Alberta,Health care,1,35.0,29.07
359,23,Woman,High school,Ontario,Technology,0,35.0,48.5
360,54,Man,High school,Alberta,Retail,0,21.0,25.08
361,58,Man,College diploma,Alberta,Health care,0,40.0,41.44
362,60,Man,Graduate degree,Saskatchewan,Retail,0,15.0,51.53
363,29,Man,Graduate degree,British Columbia,Education,1,35.0,32.75
364,60,Man,College diploma,British Columbia,Manufacturing,0,22.0,33.92
365,24,Woman,Bachelor's degree,Alberta,Public administration,0,37.5,36.58
366,43,Man,Bachelor's degree,British Columbia,Construction,0,35.0,82.96
367,41,Man,Graduate degree,Alberta,Health care,1,37.5,53.92
368,33,Man,High school,Manitoba,Construction,0,40.0,44.02
369,20,Woman,College diploma,Quebec,Education,1,14.0,32.36
370,55,Woman,Bachelor's degree,British Columbia,Health care,0,40.0,50.31
371,34,Man,College diploma,Ontario,Manufacturing,0,23.0,26.27
372,50,Woman,College diploma,Alberta,Hospitality,0,37.5,36.88
373,38,Nonbinary,Graduate degree,British Columbia,Retail,0,40.0,27.63
374,36,Woman,Graduate degree,British Columbia,Retail,0,17.0,53.29
375,60,Man,Graduate degree,British Columbia,Public administration,1,40.0,60.23
376,23,Man,Bachelor's degree,British Columbia,Manufacturing,1,23.0,17.4
377,53,Woman,High school,British Columbia,Retail,0,12.0,26.56
378,54,Woman,College diploma,Alberta,Public administration,0,40.0,48.91
379,36,Man,College diploma,Saskatchewan,Retail,0,40.0,26.09
380,31,Man,College diploma,British Columbia,Manufacturing,0,35.0,36.5
381,19,Woman,College diploma,British Columbia,Technology,0,40.0,27.14
382,63,Man,Bachelor's degree,British Columbia,Public administration,0,40.0,36.5
383,63,Man,College diploma,Manitoba,Technology,0,40.0,49.84
384,30,Woman,Bachelor's degree,British Columbia,Health care,0,27.0,37.35
385,20,Woman,College diploma,Manitoba,Public administration,0,40.0,25.66
386,24,Woman,College diploma,British Columbia,Retail,0,23.0,29.37
387,22,Woman,High school,British Columbia,Public administration,0,35.0,21.98
388,58,Woman,High school,Quebec,Finance,0,40.0,47.76
389,60,Woman,Bachelor's degree,British Columbia,Public administration,1,40.0,49.85
390,26,Man,College diploma,British Columbia,Construction,0,40.0,21.28
391,54,Woman,High school,British Columbia,Hospitality,0,37.5,20.2
392,27,Man,Bachelor's degree,Quebec,Education,0,40.0,33.52
393,36,Woman,College diploma,Ontario,Health care,1,37.5,54.02
394,47,Woman,High school,Ontario,Health care,1,35.0,40.31
395,52,Man,College diploma,Quebec,Public administration,1,35.0,28.84
396,60,Man,High school,British Columbia,Education,0,14.0,17.46
397,21,Woman,Bachelor's degree,Quebec,Construction,0,37.5,36.82
398,28,Woman,High school,British Columbia,Manufacturing,0,37.5,26.5
399,32,Woman,High school,Ontario,Retail,0,40.0,30.48
400,33,Man,High school,Alberta,Hospitality,0,19.0,18.68
401,65,Woman,College diploma,Alberta,Hospitality,0,40.0,31.25
402,55,Woman,High school,Quebec,Technology,0,35.0,56.46
403,34,Woman,Bachelor's degree,British Columbia,Technology,0,40.0,45.95
404,64,Woman,High school,Quebec,Health care,0,17.0,32.67
405,42,Man,Bachelor's degree,Alberta,Manufacturing,1,40.0,41.94
406,42,Man,College diploma,Ontario,Education,1,40.0,40.05
407,39,Man,College diploma,Quebec,Technology,0,40.0,46.38
408,25,Woman,High school,British Columbia,Finance,0,35.0,40.24
409,62,Woman,Bachelor's degree,Quebec,Health care,0,35.0,41.54
410,19,Woman,Graduate degree,Manitoba,Technology,0,37.5,33.31
411,27,Man,High school,Ontario,Health care,1,35.0,42.71
412,29,Man,High school,British Columbia,Health care,0,37.5,25.1
413,32,Man,Graduate degree,Manitoba,Finance,0,37.5,48.47
414,25,Nonbinary,College diploma,Ontario,Manufacturing,1,40.0,27.55
415,19,Nonbinary,High school,Alberta,Manufacturing,0,40.0,22.71
416,50,Man,High school,British Columbia,Construction,0,40.0,33.43
