article_id,comment_author,comment_counter,comment_text,njudgements_constructiveness_expt,njudgements_toxicity_expt,agree_constructiveness_expt,agree_toxicity_expt,constructive,crowd_toxicity_level,has_content,crowd_discard,constructive_characteristics,non_constructive_characteristics,toxicity_characteristics,crowd_comments_constructiveness_expt,crowd_comments_toxicity_expt,other_con_chars,other_noncon_chars,other_toxic_chars,constructive_binary,pp_comment_text
25836587,10,source1_25836587_34,"I'm kinda surprised by the conservative anger generated by this piece. Simpson's thesis that the CPC is farther right than the old PC party seems to me not only blindingly obvious but also not in the least controversial. I would have thought most of you conservatives would agreed. I expected comments along the lines of 'Thank God we purged the party of all those namby-pamby, red Tory types like Joe Clark. He had no business calling himself conservative.' Or 'we didn't drop the word 'Progressive' from the party name for no reason.' Instead, you Cons are furious. A couple of possible reasons: either 1) you imagine you're being insulted in some way and think it safer to disagree. (Maybe its just a reflexive reaction to anything a liberal like Simpson has to say.) Or 2) you actually consider yourselves moderate. If 1, relax: only liberals think it's an insult to be right wing. If 2, OK fine: you're moderate. But if you and the CPC are moderate, what would you call the old PC party? Commie pinko faux-conservatives? If the PC party represented your politics and values, what was the whole point of splitting from it and founding a brand new party? To me, the rise of Reform and the disappearance of the PCs looks like evidence of a shift to the right.",3.0,3.0,0.83,0.33,1.0,2.67,,,"specific_points:2
evidence:1
dialogue:1",no_non_con:3,"inflammatory:2
personal_attack:2
teasing:2
embarrassment:2
abusive:1","

","

","

","

","

",1.0,"Im kinda surprised by the conservative anger generated by this piece . Simpsons thesis that the CPC is farther right than the old PC party seems to me not only blindingly obvious but also not in the least controversial . I would have thought most of you conservatives would agreed . I expected comments along the lines of Thank God we purged the party of all those namby-pamby , red Tory types like Joe Clark . He had no business calling himself conservative . Or we didnt drop the word Progressive from the party name for no reason . Instead , you Cons are furious . A couple of possible reasons : either 1 ) you imagine youre being insulted in some way and think it safer to disagree . ( Maybe its just a reflexive reaction to anything a liberal like Simpson has to say . ) Or 2 ) you actually consider yourselves moderate . If 1 , relax : only liberals think its an insult to be right wing . If 2 , OK fine : youre moderate . But if you and the CPC are moderate , what would you call the old PC party ? Commie pinko faux-conservatives ? If the PC party represented your politics and values , what was the whole point of splitting from it and founding a brand new party ? To me , the rise of Reform and the disappearance of the PCs looks like evidence of a shift to the right ."
16350272,11,source1_16350272_64,"The problem occurs when people cling slavishly to works of fiction from thousands of years ago. Viewed on any objective scale, the so called holy books, with their copious amounts of proven falsities and abject horror stories, should be considered trash. And, most people who consider them holy obviously do not believe them root and branch. But, a small minority of believers have an uncanny ability to shut out all the empirical science of the last few millennia, and fanatically profess these books, and their patently transparent silliness, to be the divine wisdom of their special god. And, those of us who can walk and chew gum at the same time think that we can reason with these people???",3.0,3.0,0.33,0.33,1.0,2.67,,,"specific_points:3
solution:1
evidence:1","no_non_con:2
provocative:1","teasing:3
personal_attack:2
inflammatory:2
abusive:1
embarrassment:1","

","

","

","

","

",1.0,"The problem occurs when people cling slavishly to works of fiction from thousands of years ago . Viewed on any objective scale , the so called holy books , with their copious amounts of proven falsities and abject horror stories , should be considered trash . And , most people who consider them holy obviously do not believe them root and branch . But , a small minority of believers have an uncanny ability to shut out all the empirical science of the last few millennia , and fanatically profess these books , and their patently transparent silliness , to be the divine wisdom of their special god . And , those of us who can walk and chew gum at the same time think that we can reason with these people ? ? ?"
11084876,12,source1_11084876_84,"Ananda, what a load of horse hockey. However, I should not be surprised after watching your softball interview with Gord Nixon earlier this week. The only thing missing was a nice backrub for the RBC CEO. Or perhaps it is O'Leary that gives the backrubs? Unfortunately if it was just about skills, then these jobs would not be moving. It is strictly about money. Having worked in the IT industry for over 20 years I can definitely say that Canadian IT workers are as skilled as any of the Indian workers that their jobs are outsourced to. In fact most of the foreign outsourced workers I have worked with tend to be young and quite inexperienced. You are also wrong in stating that the TFW program is a sideshow. Outsourcing is directly linked to this program because we allow outsourcing companies to bring their foreign workers here to Canada to take our jobs. I bet if you go into any of the big-5 banks in Toronto you will find dozens of Indian IT workers who are ostensibly here to learn the job before returning home. In fact many of them will be here in Canada for months and even years directly taking Canadian jobs. A bonus for the company in that they can get the work done cheaper (but not necessarily better) and still have the advantage of getting the work done here. The government tells young Canadians that the knowledge based economy is where the jobs are, but if we keep shipping these jobs offshore then all we are left with will be a nation of ditch diggers. I moved from Ontario to Alberta about 15 years ago because my IT job was moving west and I would much rather see a job move from Toronto to Calgary than to see it move to Delhi or Bangalore.",3.0,3.0,1.0,0.33,1.0,2.67,,,"personal_story:2
evidence:1
dialogue:1","no_non_con:2
sarcastic:1","personal_attack:2
inflammatory:1
teasing:1
no_toxic:1","

Skills","

","

","

","

",1.0,"Ananda , what a load of horse hockey . However , I should not be surprised after watching your softball interview with Gord Nixon earlier this week . The only thing missing was a nice backrub for the RBC CEO . Or perhaps it is OLeary that gives the backrubs ? Unfortunately if it was just about skills , then these jobs would not be moving . It is strictly about money . Having worked in the IT industry for over 20 years I can definitely say that Canadian IT workers are as skilled as any of the Indian workers that their jobs are outsourced to . In fact most of the foreign outsourced workers I have worked with tend to be young and quite inexperienced . You are also wrong in stating that the TFW program is a sideshow . Outsourcing is directly linked to this program because we allow outsourcing companies to bring their foreign workers here to Canada to take our jobs . I bet if you go into any of the big-5 banks in Toronto you will find dozens of Indian IT workers who are ostensibly here to learn the job before returning home . In fact many of them will be here in Canada for months and even years directly taking Canadian jobs . A bonus for the company in that they can get the work done cheaper ( but not necessarily better ) and still have the advantage of getting the work done here . The government tells young Canadians that the knowledge based economy is where the jobs are , but if we keep shipping these jobs offshore then all we are left with will be a nation of ditch diggers . I moved from Ontario to Alberta about 15 years ago because my IT job was moving west and I would much rather see a job move from Toronto to Calgary than to see it move to Delhi or Bangalore ."
11084876,13,source1_11084876_7,"Not sure why a journalist with a degree in architecture is reporting on economic matters in the first place. Judging by her op ed piece she has absolutely no idea what she is talking about. Here is an idea CBC and Globe, how about you hire someone who is qualified to speak on the subject at hand. I know just the place you might find such 'skilled labour'.",3.0,3.0,0.83,0.5,1.0,2.67,,,"dialogue:1
evidence:1
personal_story:1","no_non_con:2
sarcastic:1","teasing:2
personal_attack:2
embarrassment:1","

Skills","

","

","

","

",1.0,"Not sure why a journalist with a degree in architecture is reporting on economic matters in the first place . Judging by her op ed piece she has absolutely no idea what she is talking about . Here is an idea CBC and Globe , how about you hire someone who is qualified to speak on the subject at hand . I know just the place you might find such skilled labour ."
32163847,14,source1_32163847_45,"This is not Birtherism ... the problem is that Maryam Monsef is utterly incompetent! Where she was born is nothing compared to her total inability to explain the need for electoral reform, much less the governments insistence that a referendum is not required for any kind of legitimacy. Only people who don't clearly understand democracy and what 'by the people, for the people' means could hold this view. Our system of electing our government is owned by the people, not the government of the day, and therefore every citizen of the country deserves their say, not a few forums in a few cities and town in the middle of summer when people are away at the cottage! Totally undemocratic in every way!",3.0,3.0,0.67,0.5,1.0,2.33,,,"specific_points:3
dialogue:2
solution:1
evidence:1",no_non_con:3,"inflammatory:2
personal_attack:2","

","

","

","

","

",1.0,"This is not Birtherism ... the problem is that Maryam Monsef is utterly incompetent ! Where she was born is nothing compared to her total inability to explain the need for electoral reform , much less the governments insistence that a referendum is not required for any kind of legitimacy . Only people who dont clearly understand democracy and what by the people , for the people means could hold this view . Our system of electing our government is owned by the people , not the government of the day , and therefore every citizen of the country deserves their say , not a few forums in a few cities and town in the middle of summer when people are away at the cottage ! Totally undemocratic in every way !"
33444228,15,source2_33444228_33,"IMO, the article misses the big picture by suggesting that there are good and bad sides of identity politics. There aren't.'Hey everyone, look at me. I'm special!' identity politics is never good. Just like there is no such thing as 'good' racism. There is only racism. Just like there is no such thing as 'good' gender bias. There is only gender bias. Placing a subjective value on these issues simply leads to the tail-chasing gainsaying and whataboutery as demonstrated in this article. Ironically, that's what also causes the divisiveness and inequality that the social justice crowd keeps crying about.",3.0,3.0,0.67,0.5,1.0,2.33,,,"specific_points:3
dialogue:2",no_non_con:3,"personal_attack:1
embarrassment:1
no_toxic:1
inflammatory:1
teasing:1","

","

","

","

","

",1.0,"IMO , the article misses the big picture by suggesting that there are good and bad sides of identity politics . There arent.Hey everyone , look at me . Im special ! identity politics is never good . Just like there is no such thing as good racism . There is only racism . Just like there is no such thing as good gender bias . There is only gender bias . Placing a subjective value on these issues simply leads to the tail-chasing gainsaying and whataboutery as demonstrated in this article . Ironically , thats what also causes the divisiveness and inequality that the social justice crowd keeps crying about ."
28920847,16,source1_28920847_165,"National unity always suffers under liberal governments due to their highly devisive and partisan nature. Chretien retaliating against con friendly ridings and closing military bases in those ridings for example. How about Justin stating...“Canada isn’t doing well right now because it’s Albertans who control our community and socio-democratic agenda. It doesn’t work,” Trudeau said. When Lagace asked whether Trudeau believed Canada was better off “when there are more Quebecers in charge than Albertans,” Trudeau replied in the affirmative. “I’m a Liberal, so of course I think so, yes. Certainly when we look at the great prime ministers of the 20th century, those that really stood the test of time, they were MPs from Quebec ... This country — Canada — it belongs to us.”And on liberals inability to run a balanced budget? Again, who is suprised when you have Justin promising to implement all recommendations from the TRC's report on aboriginal affairs, WITHOUT HAVING ACTUALLY READ THE DOCUMENT! Canada is in for a very long and troubling 4 years with this level of divisive partisanship and fiscal incompetence from Justin.",3.0,3.0,0.67,1.0,1.0,2.33,,,"specific_points:3
dialogue:2
evidence:1",no_non_con:3,"personal_attack:2
abusive:1
no_toxic:1","

","

","

","

","

",1.0,"National unity always suffers under liberal governments due to their highly devisive and partisan nature . Chretien retaliating against con friendly ridings and closing military bases in those ridings for example . How about Justin stating ... “ Canada isn ’ t doing well right now because it ’ s Albertans who control our community and socio-democratic agenda . It doesn ’ t work , ” Trudeau said . When Lagace asked whether Trudeau believed Canada was better off “ when there are more Quebecers in charge than Albertans , ” Trudeau replied in the affirmative . “ I ’ m a Liberal , so of course I think so , yes . Certainly when we look at the great prime ministers of the 20th century , those that really stood the test of time , they were MPs from Quebec ... This country — Canada — it belongs to us. ” And on liberals inability to run a balanced budget ? Again , who is suprised when you have Justin promising to implement all recommendations from the TRCs report on aboriginal affairs , WITHOUT HAVING ACTUALLY READ THE DOCUMENT ! Canada is in for a very long and troubling 4 years with this level of divisive partisanship and fiscal incompetence from Justin ."
28775443,17,source1_28775443_78,"'Since taking power, the NDP government has often been more Stephen Harper than Justin Trudeau, curtailing reporters’ access and ending press conferences when it didn’t like what was being asked. What began as petty has evolved into something far worse.'Incredibly, the Globe that endorsed Harper - who wouldn't even meet with the media most days and excluded many media reps from the few Q&As he conducted - actually says Trudeau is more Harper than Harper. The irony couldn't be thicker. It's also a flat out lie. Trudeau has made himself and his cabinet refreshingly accessible to the press and the public. Now I don't know what's going on with the Alberta legislature - other than the fact the Rebel Media crew have at least one wannabe assassin in their ranks. How soon will it be before the Globe is giving Ezra column space. After Jenni Byrne, it wouldn't be a stretch. Yes, Globe, 'what began as petty' editorials is 'evolving into something far far worse.' If you want to go to bat for a psychopath like Ezra, that's your business. But saying Trudeau is more Harper than Harper is a little too Fox Newsy, even for you.",3.0,3.0,0.83,0.0,1.0,2.33,,,"dialogue:3
evidence:2
specific_points:1","no_non_con:2
sarcastic:1","personal_attack:2
inflammatory:2
embarrassment:2
no_toxic:1
teasing:1
abusive:1","

","

","

","

","

",1.0,"Since taking power , the NDP government has often been more Stephen Harper than Justin Trudeau , curtailing reporters ’ access and ending press conferences when it didn ’ t like what was being asked . What began as petty has evolved into something far worse.Incredibly , the Globe that endorsed Harper - who wouldnt even meet with the media most days and excluded many media reps from the few Q & As he conducted - actually says Trudeau is more Harper than Harper . The irony couldnt be thicker . Its also a flat out lie . Trudeau has made himself and his cabinet refreshingly accessible to the press and the public . Now I dont know whats going on with the Alberta legislature - other than the fact the Rebel Media crew have at least one wannabe assassin in their ranks . How soon will it be before the Globe is giving Ezra column space . After Jenni Byrne , it wouldnt be a stretch . Yes , Globe , what began as petty editorials is evolving into something far far worse . If you want to go to bat for a psychopath like Ezra , thats your business . But saying Trudeau is more Harper than Harper is a little too Fox Newsy , even for you ."
11484180,18,source1_11484180_57,I watched Justin Trudeau's speech. He didn't generate the rousing cheers at the points where even JT thought they would. I found the speech lacking and a bit insipid. I find the attack ads the Conservatives released the day after JT's coronation as Liberal leader very distasteful and lowbrow but that doesn't change that I expect much more from Justin Trudeau before accepting that he's Prime Minister material.,3.0,3.0,0.67,0.33,1.0,2.33,,,"evidence:2
specific_points:1",no_non_con:3,"teasing:2
personal_attack:1","

PM Trudeau","

","

","

","

",1.0,I watched Justin Trudeaus speech . He didnt generate the rousing cheers at the points where even JT thought they would . I found the speech lacking and a bit insipid . I find the attack ads the Conservatives released the day after JTs coronation as Liberal leader very distasteful and lowbrow but that doesnt change that I expect much more from Justin Trudeau before accepting that hes Prime Minister material .
11484180,19,source1_11484180_97,"A pillow indeed. All this self-pitying talk of 'bullying' as if Trudeau Jr were a toddler in a daycare in need of protecting. It's pathetic. In case anyone has forgotten, Trudeau is rich man from a privileged background who wants to be the prime minister. Such a person shouldn't be scared of a little criticism and his supporters shouldn't be so feeble, crying and complaining about those mean 'bullies' who don't love little Trudeau Jr. Please grow up and save your concern about bullying for the genuine victims. Applying this label to a person from such a privileged and powerful family makes a mockery of the word.",3.0,3.0,0.5,0.0,1.0,2.33,,,"specific_points:3
solution:1
personal_story:1","no_non_con:2
provocative:1","embarrassment:3
personal_attack:2
inflammatory:2
teasing:2","

","

","

","

","

",1.0,"A pillow indeed . All this self-pitying talk of bullying as if Trudeau Jr were a toddler in a daycare in need of protecting . Its pathetic . In case anyone has forgotten , Trudeau is rich man from a privileged background who wants to be the prime minister . Such a person shouldnt be scared of a little criticism and his supporters shouldnt be so feeble , crying and complaining about those mean bullies who dont love little Trudeau Jr . Please grow up and save your concern about bullying for the genuine victims . Applying this label to a person from such a privileged and powerful family makes a mockery of the word ."
15609883,20,source1_15609883_0,"Mr. Harper is a nasty man and he has turned what might have been a viable national political party into a mean-spirited pack of thugs for whom the ethic 'the ends justify the means' is their mantra. He had help of course. He has surrounded himself with equally small-minded people like Mr. Clement, who probably spent more time pushed into a locker at school than most, being the insufferable twerp that he is. And Mr. Flaherty, whose choice of close friends like Rob and Doug says something, and nothing flattering. And who can forget the utterly forgettable Vic Toews, a man always behind his time? The list goes on. But what they all have in common is a deep reserve of negative feelings for the likes of mentally disordered offenders and aboriginals and veterans and union members and pro-choice advocates and animals in their natural habitat and really anyone that doesn't see the world as they do or anything that stands in the way of their goal of near unlimited exploitation of our natural world. Go and go soon Mr. Harper. BVB",3.0,3.0,1.0,0.5,1.0,2.33,,,"specific_points:2
solution:1
evidence:1
dialogue:1",no_non_con:3,"personal_attack:2
inflammatory:2
teasing:1
no_toxic:1","

","

","

","

","

",1.0,"Mr. Harper is a nasty man and he has turned what might have been a viable national political party into a mean-spirited pack of thugs for whom the ethic the ends justify the means is their mantra . He had help of course . He has surrounded himself with equally small-minded people like Mr. Clement , who probably spent more time pushed into a locker at school than most , being the insufferable twerp that he is . And Mr. Flaherty , whose choice of close friends like Rob and Doug says something , and nothing flattering . And who can forget the utterly forgettable Vic Toews , a man always behind his time ? The list goes on . But what they all have in common is a deep reserve of negative feelings for the likes of mentally disordered offenders and aboriginals and veterans and union members and pro-choice advocates and animals in their natural habitat and really anyone that doesnt see the world as they do or anything that stands in the way of their goal of near unlimited exploitation of our natural world . Go and go soon Mr. Harper . BVB"
