comment_id,comment_text,toxicity,is_toxic,n_raters,n_toxic_votes,article_id,publication_id,created_date,rating,n_chars,n_words,mentions_identity,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disability,psychiatric_or_mental_illness,other_disability
350778,"To paint Aisha as a victim is completely at odds with her persona. She was certainly no wallflower. During a controversial battle in Muslim history, she emerged riding a camel to lead the troops. She was known for her assertive temperament and mischievous sense of humour – with Muhammad sometimes bearing the brunt of the jokes. During his lifetime, he established her authority by telling Muslims to consult her in his absence; after his death, she went to be become one of the most prolific and distinguished scholars of her time.
A stateswoman, scholar, mufti, and judge, Aisha combined spirituality, activism and knowledge and remains a role model for many Muslim women today. The gulf between her true legacy and her depiction in Islamophobic materials is not merely historically inaccurate, it is an insult to the memory of a pioneering woman.",0.2,no,10,2,138760,21,2016-06-15 03:51:23.438492+00,approved,850,141,True,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6279967,"Congrats on your hypocrisy....

In the Northern Interior, the McLeod Lake Indian Band is expected to claim royalties of between $35 million and $40 million over the 15-year life of Thompson Creek Metal’s Mount Milligan gold and copper mine. The Nak’azdli will share an additional $24 million in royalties from the mine.

In the Lower Mainland, the Musqueam, Squamish and Tsleil-Waututh last year negotiated a 50-per-cent stake in a federal land deal that includes the Jericho military lands valued at $300 million. Once developed, estimates peg the Jericho real estate at $3 billion.

And the Tahltan expect to receive $2.36 billion in benefits during the next 60 years from the three AltaGas run-of-river projects for agreements covering revenue-sharing from the province and company, contracts, ownership and upfront payments. Community members have been told another $78 million could flow from the Red Chris mine.",0.5,yes,10,5,396480,54,2017-11-03 10:52:17.315990+00,approved,917,143,False,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6103366,"As a man, I would never walk through a dark space either.  As 'Farmgirl' noted, the best defence is strong legs - RUN! And as you note, common sense, knowing what a hard punch feels like,  and being able to disable an opponent who attacks from behind are useful. The last line of defence if trouble occurs while walking alone drunk or stoned, or suddenly being dumped by the guy you 'hooked up' with at the Frat party or media/sports star you hoped would boost your career...""Go ask Alice the lawyer. I think she'll know."" Personally, I find it strange that cops are so useless at reducing the stubborn rate of 'unfounded' cases. Must be a conspiracy. Or they are all mysogynists. But of course the Fems are not mysrandrists. Banish the thought - it's not acceptable to the SJW ""Thought Police"". Besides, only a naive, old, stupid male could hold such an ignorant, primitive view. A 25 year-old female's opinion is so much better-informed. And why? Because she's female and - it's 2017!",0.5,yes,10,5,386192,54,2017-10-07 20:14:46.248537+00,rejected,986,174,True,1.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0
5054697,Gutless self serving politicians are afraid of losing the Christian vote so they will not do the humane thing to stop people from dying a painful death. Get rid of the useless career politicians.,0.6133333333333333,yes,75,46,322092,55,2017-03-25 18:14:00.875935+00,approved,195,34,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627995,"when I add up all of the facts here:

That blood transfusions are not the same as eating blood
 
That Jesus himself clearly emphasized the value and importance of ""MERCY"" and ""LIFE"" over the unnecessary ""Sacrifice of Life"" at Matthew 12 1-14.

 That the scriptures themselves are always referring to the ""eating or drinking"" of ANIMAL blood that is forbidden (not transfusions).
 
How Paul shows at 1 Corinthians. 8:4-8 that the Acts 15:29 command is not all encompassing command but had a particular purpose.
 
That Saul's men were not killed after eating blood.
 
How the strictest of Jews today allow blood transfusions.
 
That no other religion on earth forbids blood transfusions based on what the bible actually says. 

That Jesus clearly demonstrated how life (even that of an animal) was more important than a narrow, strict interpretation of the law, with the ""animal that fell into a pit on the Sabbath"" illustration he used, and the ""Woman with a flow of blood"" real-life example.",0.0,no,4,0,151612,53,2016-11-26 18:28:15.151523+00,approved,991,164,True,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6034279,"The Denver Post ran with the ""hands up don't shoot ""story for weeks, even after it was shown to be extremely unlikely that ever happened",0.0,no,4,0,382373,102,2017-09-27 14:28:04.428441+00,approved,136,25,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6222271,"Do not put words in my mouth. 

You are the one making up ridiculous hypothetical situations.
You also think that homosexuals have special rights no one else has.
I would say that is weird, but como estas thinks that Germans and Austrians have special rights no one else has.",0.6052631578947368,yes,76,46,392544,102,2017-10-25 19:43:19.535034+00,approved,275,49,True,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0
513843,My late husband NEVER talked like that.  He was never vulgar or lewd.,0.0,no,4,0,147929,21,2016-10-07 22:59:45.931427+00,approved,69,13,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5309776,"Neither Ireland nor Australia [whose many original citizens were prisoners from Ireland], had THAT many immigrants coming to them.  Today, Australia's entire population is the size of the entire population of either the State of Ohio or Pennsylvania.  When the Czech Republic was part of the Soviet Bloc of Nations---how many people were immigrating to it from Eastern European nations?  VERY FEW!

But the U.S. had immigrants from all over Europe----including Eastern Europe.  Today, there are also many people in the U.S. who are Catholics from other parts of the world and are Catholic obseving the following Rites:
Coptic, Ethiopian, Syrian, Maronite, Syro-Malankara, Armenian, Chaldea, Malabar, Belorussian, Bulgaian, Greek, Hungarian, Italo-Albanian, Melkite, Romanian, Ruthenian, Ukrainian, Krizevci, Albanian, and Russian.

That is why the adjective ""Roman"" or ""Latin"" is used so often here.",0.0,no,4,0,337597,53,2017-05-26 19:07:49.267837+00,approved,899,132,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0
5703265,"Great posts in here.  Glad to see there is still some sanity in the world.  
I heard Alex Jones say yesterday something that really resonated.  He said that the left is spreading their mental disease all over the country.  They are sick people, and they will go after anyone who isn't mentally diseased like they are. Putin said that also. That would explain a lot of what they do....those pink pussycat signs, riots, they way they talk, act, the insane MSM, the dems calling for Trump's assasination, etc.  He said they are like Zombies, and will attack anybody NOT infected like they are. He said that that can be the end of your country if it continues.
That is the best explanation of all of this I have heard so far, and it makes perfect sense. It is like ""World War Z"" in politics.",0.4,no,10,4,362132,55,2017-08-02 16:58:42.163416+00,approved,787,144,True,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
5906248,"If we let a bunch of Hispanics dictate to us what laws we enforce and what ones we wont then it wont be long before we go third world and live in a shithole just like they ran away from,either obey our laws or get the hell out!! We call the shots up here not you!",0.7,yes,70,49,374550,105,2017-09-06 13:21:50.872047+00,rejected,263,56,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0
297124,"Yea right, great pick! Might have just picked $arah again.",0.0,no,4,0,99107,21,2016-04-28 14:16:56.801989+00,rejected,58,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7057190,"Approximately 1.7%  of the children going to school naturally have indistinguishable gender, or parts of both.Thats almost 2 in 100 kids that from birth we are talking genitals not feelings or femininity. I cant and I don't think any one who wasn't born like this could even understand how difficult it would be, or how embarrasses these children would be for someone else to find this out. So to all You evangelicals: What should we do with these children God or Nature made this way? Would you deny them school? force them to go to the bathroom outside? perhaps witch hunt? or kill them at birth? So before you say a bunch of bias stuff lets here your actual solution to an actual problem on what you would like them to do with 1.7% of our kids?",0.3,no,10,3,144277,21,2016-08-22 19:17:37.399056+00,approved,747,137,True,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5828956,"This just shows more examples of why Trump won. Because the Conservatives and even Liberals are getting sick and tired of Leftists labeling every person who doesn't think the way they think as Racist, Sexist, Homophobe, etc. etc.",0.7,yes,10,7,369844,54,2017-08-24 01:10:01.435587+00,approved,229,38,False,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240972,"Wow! This is crazy I was at this party and it was a private free event. And the alcohol was all given away.  I understand a picture is worth a 1,000 words but not when they are false",0.0,no,4,0,34550,6,2016-01-27 18:07:31.640671+00,approved,182,38,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500508,"Furthermore, NT ""laying on of hands"" was performed by the local church to affirm their leaders or representatives.

In contrast, Ordination is performed by one's ""superiors"" as a symbol of delegating their authority ""downwards"".  It is actually the opposite of the NT practice.

Please note that I am not speaking for or against Ordination, only pointing-out that there is no mandate in the NT for this practice.  Those who point to the OT rituals for consecrating a Priest, are falling even closer to RC and LDS heresies regarding an ordained earthly Priesthood.  The NT teaches that Priesthood of all believers, as affirmed by the Protestant Reformation.",0.0,no,4,0,146893,52,2016-10-01 11:48:38.063015+00,approved,656,106,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5358264,Wicked men have used religions to do terrible things correct. But in today's world there's only one which is murdering and raping its way across the globe daily. Christianity had a reformation and Islam needs one very badly. But don't get it twisted the atheists can be just as dangerous...look at how many lives Communism has snuffed out. Makes the occultist Nazis look like amateurs.,0.7,yes,10,7,340647,21,2017-06-05 04:49:09.626684+00,approved,385,65,True,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.1666666666666666,0.0,0.0,0.8333333333333333,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486342,"Not really, we should just begin to hold students back if they don't know the material.",0.0,no,4,0,146578,21,2016-09-22 17:34:37.595595+00,approved,87,16,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5055640,"If not a ""silver vixen""  try  dirty blond cougar.",0.6,yes,75,45,319715,54,2017-03-25 22:18:39.131581+00,approved,49,9,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6002364,"A person (the pope) who is entirely unaffected by the programs of mass immigration can spout popisms (more properly SJWisms) all day, and in the end, what does it do?

Not a thing, but erode his voice, and those popes behind him.",0.0,no,4,0,380902,53,2017-09-22 20:26:33.723575+00,approved,229,42,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5699839,"Of course you're entitled to your opinion.

What is an ""Elitist Establishment Insider"" in your words?",0.0,no,4,0,361823,13,2017-08-02 00:42:50.801743+00,approved,101,16,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5798094,"The authors fail to note that, as in the 1930's, right wing hate groups are lavishly funded, and have the most sophisticated (i.e., expensive) propaganda campaigns.
.
There are industry actors who fund these groups.
There are foreign governments that fund these groups.
.
The point is to instill fear - at the base of Maslow's hierarchy - to stampede public opinion to trade liberty for authoritarianism.
.
What would be humorous, were it not so dangerous, is when the proxies of one group get upset when they are up-staged by the proxies of another group, as in the 2016 US GOP primaries and presidential election.
.
A remarkable coincidences (not) is that for all the right wing groups, terrorists, racists, nationalists, religious fundamentalists, and so on, in however many countries, all have this in common, without exception: 
.
All of them are opposed to any kind of collective action to address climate change.
.
Makes it fairly easy to figure out where most of the money is coming from.",0.0,no,4,0,367667,54,2017-08-18 22:56:47.124635+00,approved,996,170,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5484864,"""When you kill innocent children, innocent babies...""
As opposed to guilty children and babies?

Stop making 'statements' by bombing an empty airfield.  Lob half a dozen cruise missiles at the presidential palace and be done with this and go home.",1.0,yes,4,4,348975,21,2017-06-27 15:21:45.628469+00,approved,247,40,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5324079,"What if instead of ""Christian Freaks"", your comment said ""Muslim Freaks""?",0.5125,yes,80,41,338768,54,2017-05-29 22:59:41.983621+00,approved,73,11,True,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578788,"Try this if you can stand a bit of truth. There is this thing called google, just put in democrats caught cheating, or maybe democrats dirty tricks. But you will find out your statement is just a narrow minded partisan talking point that has absolutely no value. Good luck.",0.3,no,10,3,150633,13,2016-11-05 20:56:37.247030+00,approved,273,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5558223,"The circumference of the (round) Earth was demonstrated LONG ago...
https://www.windows2universe.org/?page=/citizen_science/myw/w2u_eratosthenes_calc_earth_size.html",0.0,no,4,0,352700,102,2017-07-09 10:22:30.939438+00,approved,165,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5879243,"""“We do not do the work of ICE,” he said.""

Nice strawman, you dishonest hack.",0.8,yes,5,4,372931,102,2017-09-01 14:32:15.206847+00,approved,78,15,False,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5718266,"How is it possible that in 12 years of mandatory public education our schools do not teach students the basics of survival, including map & compass skills, and how to survive in the vast wilderness we live in? School boards are often comprised of businessmen, who want compliant, obedient, dependent workers, not critical thinkers capable of independent thought and action.  I hope this woman doesn't become the latest victim of our ""school"" system. A large drum needs to be set up at the point she entered the forest to guide her back, regularly booming, as bass sounds travel the farthest. Volunteers could take turns beating it. This will also tend to scare off any predators in the area.",0.0,no,4,0,363189,43,2017-08-05 09:26:51.681487+00,approved,691,118,True,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
895873,"The fascist dictator continues the insanity against all human and civil rights by the National Security State formerly the purview of Hitler, Stalin, Mao, Pol Pot, ad nauseum.",0.7,yes,10,7,164033,21,2017-01-25 16:45:01.882489+00,approved,175,28,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7064512,Yep....because we all know that there is no difference between people that have done nothing wrong (didn't know that Venezuela was a hotbed of terrorism) and a convicted attempted murderer/ terrorist.....,0.5,yes,10,5,391279,102,2017-10-20 17:04:59.977942+00,approved,204,31,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430637,"In Japan they call mucky, mucky sucki!  They are the most racist folks on the planet and will not hear of any change to that mentality!  If only we could take a few cues instead of this death spiral we are in!",0.55,yes,80,44,143657,21,2016-08-14 04:04:29.541081+00,approved,209,42,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
5012585,"That is what we are moving towards, pal.",0.0,no,4,0,319804,54,2017-03-16 16:21:26.765995+00,approved,40,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6162283,"Sounds right to me.  When people hate, they loose the ability to reason.  Dems hate anyone who disagrees with any part of their agenda.  Their love for illegal aliens and protection of sexually confused males (over females) is what made me turn Independent.",0.5,yes,10,5,389997,105,2017-10-17 12:31:34.251776+00,approved,257,43,True,0.8333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5321824,"At first I was amused by your boneheadedness.  The question I KEEP asking is how well does your family get along?  You have no problem attacking the President's family.  I also asked do they work at the same job too. Since you didn't answer either time I will assume the answer is no.  But you keep pounding away in futility.  Then you attack my sexuality.  Waaa, waaa. Frankly I would love to talk about my sex life, but my gal won't let me.  I know you're counting on something (you little perv) but no, I'm not going to let you have it.  Further I'm tired of dealing with the ""likes"" of you, so shut up, go away, and leave me alone (w/my lover), and go find a dry towel and a dirty magazine.",0.6,yes,10,6,338349,13,2017-05-29 15:30:46.439900+00,approved,694,133,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5456462,"Stopping the move to mailboxes instead of door to door delivery was one of the worst things the Liberals did when they got elected. They can spin this all they want but the numbers don't lie and we the taxpayer are on the hook for it. By the way, the mailbox for my house was installed the week before the election and there have been no issues since it was put in.",0.1666666666666666,no,6,1,347105,54,2017-06-22 03:40:16.827180+00,approved,365,72,False,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5458438,"Islamist Extremists dreams coming true, they have planted the seeds for Religious hate/wars within it's Westernized counterparts America and Europe. Although the Bigger picture of the Muslim/Islam Religious war is World Wide even within Dictatorship and Communist ruled Countries(Russia, China, Iran, etc.). It seems the Crazy Fat Kid's N.Korea may be one of the few Countries the Muslim/Islamist fear today because of the physical power he'd lay on their followers. Basically, no Religions allowed in N.Korea = NO religious wars within itself. N.Korea's God is Kim, only can have one God. I DARE the Islamist Extremists to cause harm and plant seeds in N.Korea! Allah will be smiling welcoming you as you ascend to this Heaven of Harems.
We felt and will further feel the wrath of the Middle East Muslim/Islam religious war around the World. So Sad to Say",0.5,yes,10,5,347151,55,2017-06-22 14:57:22.464042+00,approved,856,140,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
