net_tfa,age,inc,educ,fsize,marr,twoearn,db,pira,hown,e401
3.0,53,30.78,8,4,1,1,1,0,1,0
62.8,57,61.5,13,3,1,0,0,1,1,0
-9.1,29,49.2,17,2,1,1,0,0,1,0
0.0,49,11.73,4,6,1,0,0,0,0,0
24.999,49,63.396,16,3,1,0,0,0,1,0
0.01,34,7.329,16,1,0,0,0,0,0,0
0.0,26,17.952,15,1,0,0,0,0,0,0
0.0,37,18.942,14,4,0,0,0,0,0,0
-5.0,25,27.48,12,3,1,1,0,0,1,0
0.02,57,6.885,12,2,0,0,0,0,1,0
0.2,28,17.37,12,1,0,0,0,0,0,0
0.0,32,37.593,16,4,1,1,1,0,0,0
-1.345,63,16.575,11,2,1,1,0,0,0,0
-3.25,27,29.766,14,2,1,0,0,0,1,0
11.7,38,77.124,17,1,0,0,0,1,1,0
3.72,60,2.307,10,2,0,0,0,0,1,0
-1.6,28,29.922,11,6,1,1,0,0,1,0
26.6,38,80.55,18,2,1,1,0,1,1,0
2.7,44,32.46,14,2,1,0,1,0,1,0
0.049,38,39.42,14,4,1,1,0,0,1,0
0.0,42,18.0,1,1,0,0,0,0,1,0
15.599,61,19.278,8,1,0,0,1,1,0,0
2.905,51,19.956,12,3,1,0,0,0,1,0
15.97,37,7.182,18,1,0,0,0,0,1,0
-86.5,57,47.193,12,2,1,1,0,0,0,0
-4.2,27,13.2,12,2,0,0,0,0,0,0
-2.415,38,14.892,12,5,1,1,0,0,0,0
0.0,29,13.5,12,2,0,0,0,0,0,0
0.044,46,72.099,16,2,1,0,0,0,1,0
90.93,36,93.648,18,2,1,1,0,1,0,0
4.7,56,48.69,12,3,1,1,1,1,1,0
-0.712,30,9.009,6,4,1,0,0,0,0,0
-0.635,29,36.213,9,6,1,1,0,0,0,0
0.0,26,10.2,14,1,0,0,0,0,0,0
-2.2,34,43.716,12,3,1,1,1,0,0,0
-5.055,59,9.078,6,2,1,0,0,0,1,0
5.399,31,13.479,12,3,1,0,0,1,0,0
-2.1,29,31.569,17,4,1,0,0,0,1,0
0.6,49,17.874,12,2,0,0,0,0,1,0
7.299,31,43.005,12,2,1,1,0,1,1,0
15.1,33,33.885,16,2,1,1,0,0,1,0
0.0,40,10.26,12,1,0,0,0,0,0,0
31.791,53,23.721,13,1,0,0,1,1,1,0
-0.4,30,23.118,16,1,0,0,1,0,0,0
-12.0,32,25.305,12,3,1,1,0,0,1,0
0.499,47,49.206,16,4,1,1,0,0,1,0
4.5,33,30.075,6,3,1,1,0,0,1,0
-10.525,30,35.058,16,2,1,1,0,0,0,0
-0.17,43,15.33,10,5,1,0,0,0,0,0
0.0,26,22.08,12,3,0,0,1,0,0,0
1.0,44,65.4,16,4,1,1,1,0,0,0
-9.764,43,11.454,12,5,1,0,0,0,1,0
17.075,35,30.3,18,2,0,0,0,0,1,0
2.01,48,29.238,10,4,1,0,0,0,1,0
0.6,42,10.428,12,3,0,0,0,0,1,0
41.549,39,84.111,18,1,0,0,1,1,1,0
26.564,45,70.035,10,2,0,0,0,0,0,0
0.0,40,10.56,12,2,0,0,0,0,0,0
44.763,62,40.5,11,3,1,1,0,1,1,0
1.6,36,31.869,16,1,0,0,0,1,0,0
10.029,30,21.306,16,2,0,0,0,0,1,0
29.715,35,74.178,14,4,1,0,0,0,1,0
4.144,44,47.769,12,6,1,0,0,0,1,0
-18.5,56,12.024,12,2,0,0,0,0,1,0
0.0,35,2.64,9,4,0,0,0,0,0,0
-1.564,49,22.395,12,5,1,1,1,0,1,0
385.0,43,50.484,12,3,0,0,0,1,1,0
-4.0,45,42.576,16,1,0,0,1,0,0,0
0.0,38,10.443,12,4,0,0,0,0,0,0
1.8,32,19.224,14,1,0,0,1,0,0,0
1.5,32,34.455,13,3,1,1,0,1,1,0
-21.07,27,33.453,16,3,1,1,1,0,1,0
12.5,44,21.234,15,1,0,0,1,1,1,0
6.0,32,21.93,14,1,0,0,0,0,0,0
-5.0,48,45.165,12,3,1,1,0,0,1,0
-0.3,39,20.76,12,2,1,1,0,0,1,0
-3.9,31,27.15,12,3,0,0,0,0,0,0
0.85,26,16.116,13,3,1,0,0,0,0,0
-0.595,31,31.536,12,4,1,1,1,0,1,0
12.877,31,37.461,12,4,1,1,0,0,1,0
60.3,38,110.181,12,5,1,1,0,1,0,0
0.03,35,24.123,14,3,0,0,1,0,0,0
-15.565,35,28.782,13,5,1,1,0,0,1,0
1.5,42,36.666,18,3,1,1,0,0,1,0
0.3,44,72.975,10,3,1,1,1,0,1,0
-5.25,48,49.656,12,3,1,1,0,0,0,0
-10.491,36,36.267,15,4,1,1,0,0,1,0
1.3,35,55.374,12,3,1,1,0,1,1,0
0.0,28,22.833,12,3,0,0,0,0,0,0
-2.0,37,69.12,16,3,1,1,0,0,0,0
1.0,34,24.465,11,3,1,1,0,0,0,0
0.454,46,80.862,17,5,1,1,1,0,1,0
0.209,30,33.42,12,4,1,1,0,0,0,0
1.46,54,7.44,8,1,0,0,1,0,1,0
-9.6,47,15.141,12,2,1,0,0,0,1,0
4.572,34,20.667,12,4,1,1,0,1,0,0
25.699,52,30.87,13,3,1,1,0,0,1,0
2.924,27,16.86,12,1,0,0,0,0,0,0
0.0,43,16.08,14,1,0,0,0,0,0,0
26.0,40,52.998,18,1,0,0,1,0,1,0
0.74,28,16.83,13,1,0,0,1,0,0,0
4.0,63,37.32,8,2,1,0,0,0,1,0
1.799,54,53.133,18,3,1,1,0,0,0,0
0.1,35,28.998,12,3,0,0,1,0,0,0
4.5,59,7.74,7,2,1,0,0,0,1,0
-0.3,33,13.755,12,3,0,0,1,0,0,0
0.2,30,42.315,14,2,1,1,0,0,1,0
0.2,58,20.49,12,4,1,1,0,0,1,0
-0.397,35,21.177,12,4,0,0,0,0,0,0
0.0,35,21.735,12,4,1,1,0,0,0,0
-9.55,42,12.6,12,1,0,0,0,0,1,0
130.812,59,45.519,12,2,1,1,0,1,1,0
0.049,48,26.958,13,3,1,0,0,0,0,0
4.6,32,50.97,15,2,1,0,0,0,1,0
0.05,43,39.612,12,2,1,1,0,0,1,0
-1.951,31,24.012,13,2,1,1,0,0,0,0
-2.854,54,28.059,16,5,1,1,0,1,0,0
0.0,27,16.2,12,1,0,0,0,0,0,0
1.8,45,14.85,12,2,0,0,0,0,1,0
41.499,58,20.976,13,1,0,0,0,0,1,0
-3.386,29,16.902,1,7,1,0,0,0,0,0
-0.4,63,11.877,12,3,0,0,0,0,0,0
-6.397,43,11.103,14,4,0,0,0,0,0,0
-1.7,29,39.051,16,1,0,0,0,0,0,0
-0.5,51,19.968,18,2,0,0,0,0,1,0
-0.225,44,42.744,13,2,1,1,1,0,0,0
8.4,38,78.396,16,4,1,1,0,1,1,0
-11.635,37,34.803,11,5,1,1,0,0,1,0
2.75,44,10.446,12,5,1,0,0,0,1,0
67.6,44,34.755,1,4,1,0,0,0,1,0
0.031,29,15.174,12,4,0,0,0,0,1,0
-0.165,37,20.421,13,1,0,0,0,0,0,0
28.999,42,55.11,12,4,1,1,0,1,1,0
0.5,38,28.05,12,4,1,0,0,0,1,0
0.05,40,12.12,12,4,0,0,1,0,1,0
0.0,31,28.08,12,3,1,1,0,0,1,0
-101.436,31,42.555,13,3,1,1,0,0,0,0
3.399,31,37.509,16,1,0,0,0,0,0,0
0.0,35,9.042,12,1,0,0,1,0,0,0
4.21,42,57.18,18,4,1,1,0,0,1,0
0.131,39,11.604,18,3,1,1,0,0,1,0
-1.804,27,23.4,5,3,1,1,0,0,0,0
0.259,62,20.622,16,1,0,0,0,0,1,0
0.599,27,10.836,14,3,0,0,0,0,1,0
1.49,38,12.816,10,4,1,0,0,0,1,0
3.45,33,43.83,15,3,1,1,0,1,1,0
2.225,60,22.986,12,2,1,1,0,1,1,0
3.0,60,37.794,13,2,1,1,0,1,0,0
0.1,52,4.89,10,1,0,0,0,0,1,0
0.294,61,19.545,12,3,1,1,0,0,1,0
0.7,31,19.86,14,1,0,0,0,0,0,0
52.0,61,13.206,12,4,0,0,0,1,1,0
89.9,49,23.25,12,1,0,0,0,1,1,0
1.258,34,60.615,14,4,1,1,0,1,1,0
4.0,31,23.529,16,1,0,0,1,0,0,0
3.8,29,37.704,12,3,1,1,0,0,1,0
8.199,33,24.612,6,5,0,0,0,0,1,0
-13.6,33,38.55,14,3,1,1,0,1,0,0
195.0,44,128.7,17,4,1,1,1,1,1,0
-0.45,31,12.816,12,4,0,0,0,0,0,0
0.0,47,37.8,14,2,0,0,0,0,1,0
-7.451,40,17.88,12,3,0,0,0,0,0,0
-7.92,41,19.641,12,3,0,0,0,0,1,0
0.0,36,5.103,12,2,0,0,0,0,0,0
0.03,29,12.756,12,1,0,0,0,0,0,0
0.0,33,4.845,12,3,0,0,0,0,0,0
12.192,27,31.83,15,3,1,1,0,1,1,0
0.099,42,23.43,13,5,0,0,0,0,0,0
0.9,36,42.114,15,6,1,1,0,0,0,0
5.0,32,11.1,1,5,1,0,0,0,0,0
0.0,26,5.28,12,1,0,0,0,0,1,0
-6.301,39,37.569,12,4,1,1,0,0,0,0
24.9,45,43.239,12,1,0,0,1,1,1,0
59.061,63,71.184,12,2,1,1,0,1,1,0
-0.35,31,59.544,16,4,1,1,1,0,1,0
0.0,30,4.2,11,6,0,0,1,0,0,0
0.0,46,7.668,8,2,0,0,0,0,1,0
0.0,55,7.872,11,2,0,0,0,0,0,0
-2.1,38,31.896,15,5,1,1,1,0,1,0
0.0,25,14.439,9,3,1,0,0,0,0,0
3.899,34,19.713,12,3,1,0,0,0,0,0
28.0,41,31.254,18,1,0,0,1,0,1,0
62.3,35,63.525,18,1,0,0,0,1,0,0
-6.6,43,31.8,12,3,0,0,1,0,1,0
-0.451,60,24.996,10,4,1,1,1,0,1,0
0.0,51,36.45,12,3,1,0,0,0,1,0
2.6,60,21.072,15,2,1,1,0,0,0,0
0.2,49,18.012,12,2,0,0,0,0,1,0
-0.6,42,12.24,12,3,1,0,0,0,0,0
0.734,53,31.386,12,3,1,0,0,0,1,0
-4.85,34,21.645,14,2,0,0,1,0,0,0
-0.633,56,17.724,13,3,1,0,0,0,1,0
14.8,53,37.482,12,3,1,1,0,1,1,0
-3.3,58,27.639,10,2,1,0,0,0,1,0
0.36,26,30.72,16,1,0,0,0,0,1,0
2.549,38,18.438,11,6,1,0,0,0,0,0
-0.8,38,19.125,12,7,1,0,0,0,0,0
12.0,35,13.704,12,6,1,0,0,1,1,0
0.749,53,34.185,12,1,0,0,1,0,1,0
-40.3,28,51.66,18,1,0,0,0,0,1,0
0.0,35,1.92,12,4,1,0,0,0,0,0
-3.65,37,20.424,11,4,1,0,0,0,1,0
-0.4,34,21.6,13,3,1,1,0,0,0,0
4.7,36,56.118,16,1,0,0,1,1,1,0
-0.425,28,20.148,12,5,1,1,1,0,0,0
-1.15,44,16.806,12,3,1,0,0,0,1,0
-1.093,31,13.317,15,4,1,1,0,0,1,0
-0.1,31,20.475,17,1,1,0,0,0,0,0
-3.0,51,8.73,12,2,1,0,0,0,1,0
-0.15,28,19.5,12,1,0,0,0,0,0,0
-16.0,54,27.858,6,4,1,0,0,0,1,0
-1.7,36,41.694,14,2,1,1,1,0,1,0
0.0,40,8.85,12,1,0,0,0,0,0,0
0.0,29,7.65,12,1,0,0,0,0,0,0
7.499,25,51.45,12,2,0,0,0,0,1,0
-57.2,47,10.542,12,2,1,0,0,0,1,0
0.0,49,15.3,15,1,0,0,0,0,0,0
86.5,35,102.171,18,4,1,0,1,1,1,0
-5.1,40,45.231,13,3,0,0,0,0,1,0
-2.674,30,13.152,10,3,0,0,0,0,1,0
37.316,38,27.813,11,3,1,1,0,1,1,0
6.048,49,39.123,12,3,1,1,0,0,1,0
-2.2,32,36.15,12,4,1,1,0,0,1,0
0.11,52,39.219,12,2,1,0,0,0,1,0
-0.3,55,10.8,12,3,0,0,0,0,1,0
20.649,58,20.235,10,2,1,0,0,1,1,0
-13.3,38,62.703,12,5,1,1,0,0,1,0
0.31,43,23.49,14,1,0,0,0,0,1,0
-0.15,27,15.888,12,2,0,0,0,0,1,0
-9.001,25,33.729,18,1,0,0,0,0,0,0
1.875,29,55.845,12,2,1,1,0,0,1,0
-0.65,40,19.209,15,2,0,0,0,0,1,0
0.656,59,23.976,14,2,1,0,0,0,1,0
-32.887,35,57.156,12,4,1,1,0,0,1,0
0.0,43,13.743,12,1,0,0,0,0,0,0
-11.9,39,7.47,12,1,0,0,1,0,0,0
2.55,36,77.94,15,4,1,1,0,0,1,0
-69.3,46,16.2,12,5,1,1,0,0,1,0
3.7,26,10.404,9,1,0,0,0,0,1,0
0.0,54,27.24,16,5,0,0,1,0,0,0
0.25,56,35.742,12,3,1,0,0,0,1,0
3.66,63,28.272,8,4,1,0,0,0,1,0
39.0,62,58.272,11,1,0,0,1,0,1,0
-1.246,42,14.307,12,6,1,0,0,0,0,0
215.75,41,66.018,16,3,0,0,0,0,1,0
-40.65,38,6.75,14,2,0,0,0,1,0,0
0.13,42,27.0,13,1,0,0,1,0,1,0
11.8,55,21.801,12,3,0,0,1,1,1,0
8.0,45,36.495,12,3,0,0,1,0,0,0
469.4,61,172.092,12,2,1,0,0,1,1,0
1.599,64,6.498,13,1,0,0,0,0,0,0
1.225,35,24.549,14,1,0,0,1,0,0,0
1006.499,40,82.251,18,5,1,0,0,0,1,0
-1.0,32,53.796,17,5,1,0,0,0,0,0
-0.148,60,7.65,6,1,0,0,0,0,1,0
-3.5,42,38.817,12,2,1,1,0,0,1,0
2.398,31,19.284,14,1,0,0,1,0,0,0
-3.5,41,18.675,14,2,0,0,0,0,1,0
20.84,48,91.23,12,3,1,1,1,1,1,0
-1.6,53,21.816,10,1,0,0,1,0,0,0
97.333,63,44.799,12,2,1,0,0,1,0,0
4.2,28,48.06,15,4,1,1,0,1,1,0
43.399,55,76.077,12,3,1,1,1,1,1,0
5.692,33,49.845,18,2,1,1,0,1,1,0
4.0,31,27.708,13,3,1,0,0,1,0,0
0.025,29,14.67,12,1,0,0,0,0,0,0
-0.334,43,34.299,18,2,0,0,0,0,1,0
11.658,38,4.584,12,3,0,0,0,1,1,0
0.0,28,19.17,14,4,1,1,0,0,0,0
16.069,39,45.762,17,4,1,0,0,1,1,0
18.0,52,21.435,12,1,0,0,1,1,1,0
0.25,57,39.312,16,1,0,0,0,0,1,0
6.807,32,19.035,12,4,1,0,1,0,1,0
0.975,42,6.639,12,1,0,0,0,1,1,0
-4.96,27,17.004,13,3,0,0,0,0,0,0
184.5,36,118.401,16,4,1,0,0,1,1,0
20.6,61,68.22,12,2,1,1,0,1,1,0
1.5,33,16.29,12,1,0,0,1,0,0,0
-2.65,38,29.481,14,5,1,1,0,0,1,0
10.499,35,15.144,15,4,1,0,0,1,0,0
9.645,33,22.05,14,2,0,0,0,0,0,0
5.021,54,9.6,12,3,1,0,0,0,1,0
1.2,30,22.362,13,1,0,0,0,0,0,0
-9.0,40,14.241,14,5,0,0,0,0,0,0
1.94,53,39.192,10,2,1,1,0,1,1,0
-9.7,56,37.869,11,3,1,1,0,0,1,0
-1.84,33,44.388,12,5,1,0,0,0,1,0
93.521,54,52.77,14,5,1,0,0,1,1,0
1.0,35,21.45,12,5,1,0,0,0,1,0
-0.16,36,9.27,12,4,0,0,0,0,0,0
-1.2,25,28.83,13,1,0,0,0,0,0,0
0.0,61,3.636,9,1,0,0,0,0,0,0
2.399,50,22.2,12,1,0,0,1,0,1,0
65.897,56,39.546,12,1,0,0,0,1,1,0
-3.69,43,37.146,18,2,0,0,1,0,1,0
42.8,53,32.559,12,3,1,1,0,1,1,0
1.2,29,15.372,12,1,0,0,0,0,0,0
-6.569,25,14.484,11,4,1,0,0,0,1,0
0.3,36,57.624,12,1,0,0,0,0,1,0
15.6,25,17.793,18,1,0,0,0,0,0,0
4.0,49,48.168,12,1,0,0,1,0,1,0
1.6,27,74.97,12,5,1,0,0,0,1,0
33.926,59,43.605,12,3,1,0,0,1,1,0
0.0,45,2.4,12,3,1,0,0,0,0,0
21.55,61,28.926,16,5,1,1,0,1,1,0
-0.25,41,31.8,12,1,0,0,1,0,0,0
8.55,59,31.35,12,1,0,0,0,1,0,0
7.5,60,43.32,12,4,1,1,0,0,1,0
-6.6,32,52.041,16,1,1,0,1,0,1,0
-299.75,42,53.514,10,4,1,1,0,0,1,0
0.0,42,16.86,8,1,0,0,0,0,1,0
0.0,28,6.006,10,2,0,0,0,0,0,0
-5.1,31,33.513,11,7,1,1,0,0,0,0
4.249,26,35.325,12,2,0,0,0,0,1,0
-2.225,60,22.44,12,2,1,1,0,0,1,0
0.125,43,13.896,12,2,0,0,0,0,1,0
-4.3,43,20.583,16,4,0,0,1,0,0,0
35.9,33,39.351,18,1,0,0,0,1,0,0
0.4,58,12.09,12,2,0,0,0,0,0,0
46.8,58,24.804,12,2,0,0,0,1,1,0
0.635,25,21.63,16,1,0,0,0,1,0,0
-8.388,28,28.53,12,3,1,1,0,1,1,0
4.2,41,48.336,17,2,0,0,1,0,1,0
0.0,31,12.588,12,6,1,1,0,0,0,0
1.2,27,30.162,8,5,1,0,0,0,0,0
6.2,49,19.809,12,3,0,0,1,0,0,0
-2.2,30,14.787,16,3,0,0,0,0,0,0
0.5,49,20.43,13,1,0,0,0,0,0,0
0.045,38,11.082,17,4,0,0,0,0,0,0
26.2,59,28.284,12,2,1,0,0,0,1,0
-8.5,31,30.315,13,4,1,0,0,0,1,0
0.3,42,35.7,12,2,0,0,0,0,0,0
1.7,45,45.27,11,4,1,0,0,0,1,0
0.1,48,23.412,12,6,1,0,0,0,1,0
0.025,34,12.291,12,1,0,0,0,0,0,0
-8.0,47,39.432,12,5,1,1,1,0,1,0
-2.752,61,49.992,12,2,1,0,0,0,1,0
-7.1,31,58.122,16,2,1,1,1,0,0,0
0.0,61,25.092,12,4,0,0,0,0,1,0
86.03,40,43.203,12,4,1,1,0,1,1,0
0.0,32,19.2,14,1,0,0,0,0,0,0
16.699,26,29.7,16,1,1,0,1,0,0,0
-14.551,36,104.343,18,3,1,1,1,0,0,0
1.0,63,19.764,12,6,0,0,1,0,1,0
-3.57,49,3.84,14,2,1,0,0,0,1,0
57.5,35,81.075,14,3,1,0,0,1,1,0
-0.3,39,33.078,16,1,0,0,0,0,0,0
-16.7,35,65.01,14,4,1,1,0,0,0,0
1.1,60,30.639,13,3,1,0,1,0,1,0
3.0,42,50.937,14,5,1,1,0,0,1,0
28.0,53,108.258,16,3,1,1,0,1,1,0
7.7,52,73.11,16,2,1,1,1,1,1,0
-3.605,31,17.127,12,2,1,0,0,0,1,0
93.501,48,79.053,12,2,1,0,0,1,1,0
-0.4,38,17.7,12,1,0,0,0,0,1,0
0.0,33,12.24,10,6,1,0,0,0,0,0
16.549,26,11.118,13,3,0,0,0,0,0,0
120.0,40,124.932,17,4,1,1,0,1,1,0
82.2,25,28.209,16,1,0,0,0,1,0,0
48.8,26,86.82,18,1,0,0,0,1,0,0
0.0,49,9.612,12,2,0,0,0,0,0,0
0.025,34,8.4,13,3,1,0,0,0,0,0
-3.3,31,28.146,12,5,1,0,0,0,1,0
-7.0,38,8.13,12,5,0,0,0,0,0,0
0.3,30,22.722,16,1,0,0,0,0,0,0
0.1,25,7.044,5,4,1,0,0,0,0,0
-15.141,49,69.555,18,4,1,1,1,0,1,0
2.258,32,13.866,12,2,0,0,0,0,0,0
-0.15,54,5.4,12,2,0,0,0,0,1,0
5.649,45,35.58,12,3,1,1,0,1,1,0
-0.001,35,21.63,11,5,0,0,1,0,0,0
0.9,36,17.82,12,4,1,0,0,0,1,0
20.0,32,28.98,16,1,0,0,0,0,0,0
137.0,39,54.9,18,3,1,0,0,1,1,0
21.0,35,92.277,12,4,1,1,0,0,1,0
346.749,57,128.55,16,2,1,0,0,1,1,0
1.8,52,19.05,12,4,1,1,0,0,1,0
-3.0,34,46.053,12,4,1,1,0,0,1,0
17.0,35,19.464,12,4,0,0,1,0,1,0
28.057,39,36.522,14,2,1,1,0,1,1,0
16.5,31,25.56,16,3,1,0,0,0,0,0
5.5,39,29.265,10,3,1,1,1,0,1,0
-1.0,27,15.3,12,1,0,0,0,0,0,0
10.0,36,38.1,16,1,0,0,0,1,0,0
21.05,37,47.109,13,3,1,1,0,0,1,0
0.0,32,36.0,18,5,1,0,0,0,0,0
23.7,39,32.1,16,1,0,0,1,1,1,0
-0.151,40,49.209,12,1,0,0,1,0,0,0
-3.0,41,20.4,11,3,1,0,0,0,1,0
0.0,40,13.896,8,7,1,0,0,0,0,0
-0.4,30,8.4,12,2,0,0,0,0,0,0
9.199,49,101.946,12,6,1,1,0,0,1,0
0.0,39,13.212,12,5,0,0,0,0,1,0
0.05,36,13.821,14,2,0,0,0,0,1,0
79.7,57,43.35,12,2,1,0,0,1,1,0
41.999,38,51.798,14,2,0,0,0,0,1,0
1.0,29,19.254,14,3,0,0,0,0,1,0
0.0,53,9.99,12,1,0,0,0,0,0,0
46.5,33,41.712,12,4,1,0,0,0,1,0
-3.1,28,21.45,14,3,1,1,0,0,1,0
34.112,57,67.098,18,1,0,0,1,1,1,0
-0.2,31,19.056,12,5,1,0,1,0,0,0
-4.199,27,44.508,12,3,1,1,0,0,0,0
0.2,38,8.406,13,3,1,0,0,0,1,0
0.0,28,10.506,4,5,1,0,0,0,0,0
2.7,31,16.527,12,1,0,0,0,0,0,0
-6.501,47,33.78,13,5,1,1,0,0,1,0
126.098,52,103.164,18,6,1,1,1,1,1,0
-5.901,52,67.746,18,3,1,1,1,0,1,0
-409.0,40,115.584,14,2,1,1,0,0,1,0
-4.9,28,20.46,12,1,0,0,0,0,0,0
1.2,32,29.7,12,3,0,0,0,0,1,0
2.999,56,16.092,8,4,1,0,0,0,1,0
-11.95,43,25.371,12,1,0,0,0,0,1,0
-2.9,51,35.487,16,1,0,0,1,0,1,0
-3.97,45,64.791,14,4,1,1,1,0,0,0
-1.915,60,25.134,12,5,1,0,0,0,1,0
0.0,54,44.616,11,3,1,1,0,0,1,0
-12.9,34,29.25,18,1,0,0,0,0,1,0
0.0,40,27.84,12,2,0,0,0,0,0,0
0.0,36,3.246,4,3,0,0,0,0,1,0
-1.334,31,36.153,14,5,1,0,0,0,1,0
76.85,50,38.4,12,2,1,1,0,1,1,0
0.0,27,14.655,12,3,0,0,0,0,0,0
0.005,33,19.2,13,1,0,0,1,0,0,0
26.0,36,77.01,16,4,1,1,0,1,1,0
32.0,45,80.55,13,3,1,1,1,1,0,0
7.9,34,56.787,16,3,1,1,0,0,1,0
-30.24,25,85.38,1,4,1,1,0,0,0,0
-0.3,58,19.986,11,3,1,0,0,0,1,0
-3.9,26,57.975,16,1,0,0,0,0,1,0
-0.8,27,28.965,12,5,1,1,0,0,1,0
-1.214,33,9.09,5,4,1,0,0,0,0,0
2.7,40,58.974,16,5,1,1,1,1,1,0
10.399,40,29.622,12,2,0,0,1,1,1,0
0.0,48,10.2,13,1,0,0,0,0,0,0
-5.4,55,23.166,12,3,1,1,1,0,1,0
2.499,45,39.207,15,3,0,0,1,0,1,0
-10.5,57,8.19,12,2,1,0,0,0,1,0
3.6,31,31.8,16,4,1,0,0,0,1,0
0.3,27,32.04,12,4,1,1,0,0,0,0
3.955,31,23.562,12,1,0,0,0,0,0,0
-1.34,37,26.553,12,2,0,0,1,0,1,0
2.499,56,56.94,18,1,0,0,1,1,1,0
0.7,27,28.845,12,2,0,0,0,0,0,0
-6.92,37,20.403,6,1,0,0,0,0,0,0
